date,event,result,location,image_url
1,31.12.2001,,"Antonio Inoki&The Great SasukedefeatGiant Silva& Red And White Mask (4:02)Inoki Bom-Ba-Ye 2001- TV-Show @ Saitama Super Arena in Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
2,31.12.2000,,"Exhibition:Antonio Inokivs. Renzo Gracie - Time Limit Draw (3:00)Inoki Bom-Ba-Ye- Pay Per View @ Osaka Dome in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
3,11.03.2000,,"Exhibition:Hideaki Takizawa defeatsAntonio Inoki(3:57)Rikidozan Memorial- TV-Show @ Yokohama Arena in Yokohama, Kanagawa, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
4,04.04.1998,,"Antonio InokidefeatsDon Frye(4:09)NJPW The Final Inoki Tournament- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
5,06.07.1997,,"Antonio Inoki&Tiger KingdefeatKazuyuki Fujita&Kensuke Sasaki(9:34)NJPW Summer Struggle 1997 - Tag 12- TV-Show @ Makomanai Ice Arena in Sapporo, Hokkaido, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
6,03.05.1997,,"Antonio Inoki&Tiger KingdefeatJushin Thunder Liger&Yoshiaki Fujiwara(10:42)NJPW Strong Style Evolution In Osaka Dome- TV-Show @ Osaka Dome in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
7,12.04.1997,,"Antonio InokidefeatsTiger King(6:46)NJPW Battle Formation 1997- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
8,04.01.1997,,"Antonio InokidefeatsWillie Williams(4:19)NJPW Wrestling World In Tokyo Dome 1997- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
9,01.12.1996,,"Antonio Inokidefeats The Gaspar (4:58)Inoki Festival In Yoyogi- TV-Show @ Yoyogi National Gymnasium #2 in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
10,01.06.1996,,"Antonio Inoki&Dan Severndefeat Oleg Taktarov &Yoshiaki Fujiwara(9:15)World Wrestling Peace Festival- Event @ Los Angeles Sports Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
11,04.01.1996,,"Antonio InokidefeatsBig Van Vader(14:16)NJPW Wrestling World In Tokyo Dome 1996- TV-Show @ Tokyo Dome in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
12,30.12.1995,,"Best Two Out Of Three Falls:Antonio Inoki&Nobuhiko TakadadefeatKazuo Yamazaki&Yoshiaki Fujiwara[2:1] (19:06)Inoki Festival- Event @ Osaka-Jo Hall in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
13,03.05.1995,,"Antonio Inoki&Koji KitaodefeatGenichiro Tenryu&Riki Choshu(10:25)NJPW Wrestling Dontaku In Fukuoka Dome 1995- TV-Show @ Fukuoka Dome in Fukuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/4/4e/Allah-green.svg
