date,event,result,location,image_url
1,12.09.2025,,"AEW World Tag Team Title:Brodido(Bandido&Brody King) (c) defeatGaleon Fantasma(Difunto&Zandokan Jr.)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
2,10.09.2025,,"500.000 Dollar:Death Riders(Claudio Castagnoli,Jon Moxley&Wheeler Yuta) &The Young Bucks(Matt Jackson&Nick Jackson) defeatBrodido(Bandido&Brody King) &The Opps(Katsuyori Shibata,Powerhouse Hobbs&Samoa Joe) (13:22)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
3,05.09.2025,,"Bandido&MisticodefeatAngel de Oro&Hechicero(20:17)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
4,03.09.2025,,"AEW World Tag Team Title:Brodido(Bandido&Brody King) (c) defeatDeath Riders(Claudio Castagnoli&Wheeler Yuta) (12:19)AEW Dynamite #309- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
5,30.08.2025,,"ROH World TitleProving Ground:Bandido[c] defeatsLee Johnson(5:28)ROH YouTube Special Episode #2- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
6,29.08.2025,,"ROH World Title:Bandido(c) defeatsHechicero(36:28)ROH Death Before Dishonor 2025- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
7,27.08.2025,,"The Don Callis Family(Hechicero,Josh Alexander,Kazuchika Okada&Konosuke Takeshita) defeatBrodido(Bandido&Brody King) &JetSpeed(Kevin Knight&Mike Bailey) (11:20)AEW Dynamite #308- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",
8,24.08.2025,,"AEW World Tag Team TitleThree Way:Brodido(Bandido&Brody King) defeatThe Hurt Syndicate(Bobby Lashley&Shelton Benjamin) (c) andFTR(Cash Wheeler&Dax Harwood) (16:05) -TITLE CHANGE !!!AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",
9,20.08.2025,,"AEW World Tag Team TitleEliminator Tournament Final:Brodido(Bandido&Brody King) vs.FTR(Cash Wheeler&Dax Harwood) - Time Limit Draw (30:00)AEW Dynamite #307- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",
10,06.08.2025,,"AEW World Tag Team TitleEliminator Tournament Semi Final:Brodido(Bandido&Brody King) defeatThe Young Bucks(Matt Jackson&Nick Jackson) (20:26)AEW Dynamite #305- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",
11,01.08.2025,,"Lucka Libre Title Three Way Match (vakant):MisticodefeatsBandidoandMascara Dorada(20:16) -TITLE CHANGE !!!Promociones Lucka Libre- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",
12,31.07.2025,,"AEW World Tag Team TitleEliminator Tournament Quarter Final:Brodido(Bandido&Brody King) defeatGates Of Agony(Bishop Kaun&Toa Liona) (12:43)AEW Collision #104- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
13,26.07.2025,,"ROH World Title:Bandido(c) defeatsAdam Priest(9:56)ROH on HonorClub #127- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
14,23.07.2025,,"ROH World TitleProving Ground:Bandido[c] defeatsGringo Loco(5:41)ROH on HonorClub #128- Online Stream @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",
15,19.07.2025,,"Bandido&MisticodefeatThe Beast Mortos&Volador Jr.(13:16)CMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",
16,18.07.2025,,"Best Two Out Of Three Falls:Atlantis Jr.,Bandido&MisticodefeatGaleon Fantasma(Barboza,Difunto&Zandokan Jr.) [2:1] (10:27)CMLL Viernes Espectacular- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",
