date,event,result,location,image_url
1,15.02.2025,,"AEW Continental Title:Kazuchika Okada(c) defeatsBuddy Matthews(13:25)AEW Grand Slam Australia 2025- TV-Show @ Brisbane Entertainment Centre in Boondall, Queensland, Australia",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
2,05.02.2025,,"The Don Callis Family(Konosuke Takeshita&Kyle Fletcher) defeatHounds Of Hell(Brody King&Buddy Matthews) (14:15)AEW Dynamite #279- TV-Show @ Gateway Center Arena At College Park in College Park, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
3,25.01.2025,,"Hounds Of Hell(Brody King&Buddy Matthews) defeatGates Of Agony(Bishop Kaun&Toa Liona) (10:04)AEW Collision #78 - Homecoming 2025- TV-Show @ Daily's Place in Jacksonville, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
4,08.01.2025,,"Will OspreaydefeatsBuddy Matthews(12:40)AEW Dynamite #275- TV-Show @ F&M Bank Arena in Clarksville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
5,08.12.2024,,"Buddy MatthewsdefeatsNick Armstrong(5:52)MCW End Game 2024- Online Stream @ Melbourne Pavillion in Kensington, Victoria, Australia",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
6,23.11.2024,,"Four Way:Buddy MatthewsdefeatsDante MartinandKomanderandThe Beast Mortos(10:35)AEW Full Gear 2024 - Zero Hour- Online Stream @ Prudential Center in Newark, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
7,07.11.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatIron Savages(Beefcake Boulder,Bulk Bronson&Jacked Jameson) (3:25)AEW Collision #69- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
8,30.10.2024,,"Adam ColedefeatsBuddy Matthews(15:28)AEW Dynamite #265 - Fright Night Dynamite- TV-Show @ Wolstein Center in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
9,23.10.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatJaden Monroe, Kevin Koa & Pirata de la Muerte (2:00)AEW Dynamite #264- TV-Show @ Maverik Center in West Valley City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
10,17.10.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatAlpha Zo,Chris Nastyy&Olumide(2:49)AEW Collision #66- TV-Show @ Adventist Health Arena in Stockton, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
11,03.10.2024,,"AEW World Tag Team Title#1 Contendership Three Way:Private Party(Quen&Zay) defeatHouse Of Black(Buddy Matthews&Malakai Black) andTop Flight(Dante Martin&Darius Martin) (11:52)AEW Collision #65- TV-Show @ Huntington Center in Toledo, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
12,21.09.2024,,"House Of Black(Buddy Matthews&Malakai Black) defeatAction Andretti&Lio Rush(9:02)AEW Rampage #164- TV-Show @ MassMutual Center in Springfield, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
13,06.09.2024,,"House Of Black(Brody King&Buddy Matthews) defeatMxM Collection(Mansoor&Mason Madden) (11:44)AEW Rampage #161- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
14,31.08.2024,,"Buddy MatthewsdefeatsKomander(10:03)AEW Collision #60- TV-Show @ Denny Sanford Premier Center in Sioux Falls, South Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
15,25.08.2024,,"AEW World Trios TitleLondon Ladder:Blackpool Combat Club(Claudio Castagnoli&Wheeler Yuta) &PACdefeatThe Patriarchy(Christian Cage,Killswitch&Nick Wayne) (c) andHouse Of Black(Brody King,Buddy Matthews&Malakai Black) andBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (18:58) -TITLE CHANGE !!!AEW All In London 2024- Pay Per View @ Wembley Stadium in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
16,10.08.2024,,"AEW World Trios Title#1 Contendership Match (Special Referee: Christian Cage):Bang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) vs.House Of Black(Brody King,Buddy Matthews&Malakai Black) - Double KO (16:11)AEW Collision #57- TV-Show @ Esports Stadium Arlington in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
17,15.06.2024,,"House Of Black(Brody King,Buddy Matthews&Malakai Black) defeatBang Bang Gang(Austin Gunn,Colten Gunn&Juice Robinson) (18:24)AEW Collision #49 - 1 Year Anniversary- TV-Show @ Covelli Centre in Youngstown, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/9f/Blake_%26_Murphy_May_2015.jpg
