date,event,result,location,image_url
1,17.06.2025,,"WWE Speed Title:El Grande Americano(c) defeatsBerto(3:44)WWE Speed #79- Online Stream @ WWE Performance Center in Orlando, Florida, USA",
2,09.06.2025,,"AJ StylesdefeatsChad Gable(7:55)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",
3,07.06.2025,,"AAA Mega Title:El Hijo del Vikingo(c) defeatsChad Gable(22:00)AAA x WWE Worlds Collide 2025: Los Angeles- Online Stream @ The Kia Forum in Inglewood, California, USA",
4,07.06.2025,,"Money In The Bank Ladder:Seth RollinsdefeatsAndradeandEl Grande AmericanoandLA KnightandPentaandSolo Sikoa(33:35)WWE Money In The Bank 2025- Premium Live Event @ Intuit Dome in Inglewood, California, USA",
5,02.06.2025,,"Money In The Bank Qualifying Triple Threat:El Grande AmericanodefeatsAJ StylesandCM Punk(11:49)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",
6,26.05.2025,,"Money In The Bank Qualifying Triple Threat:PentadefeatsChad GableandDragon Lee(10:03)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",
7,12.05.2025,,"PentadefeatsChad Gable(11:03)WWE Monday Night RAW #1668- Online Stream @ KFC Yum! Center in Louisville, Kentucky, USA",
8,05.05.2025,,"WWE Speed Title:El Grande AmericanodefeatsDragon Lee(c) (3:53) -TITLE CHANGE !!!WWE Speed #71- Online Stream @ CHI Health Center in Omaha, Nebraska, USA",
9,25.04.2025,,"WWE Speed Title#1 Contendership Tournament Final:El Grande AmericanodefeatsAlex Shelley(2:21)WWE Speed #70- Online Stream @ Dickies Arena in Fort Worth, Texas, USA",
10,19.04.2025,,"El Grande AmericanodefeatsRey Fenix(7:55)WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",
11,18.04.2025,,"LWO(Dragon Lee&Rey Mysterio) &Rey FenixdefeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed) (9:43)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",
12,18.04.2025,,"Andre The Giant Memorial 2025 Battle Royal:Carmelo HayesdefeatsAkira TozawaandAndradeandAngelandAustin TheoryandBertoandBrutus CreedandCarlitoandChad GableandCruz Del ToroandDragon LeeandElton PrinceandGrayson WallerandJoaquin WildeandJulius CreedandKarrion KrossandKit WilsonandLudwig KaiserandOtisandPete DunneandR-TruthandRey FenixandSantos EscobarandShinsuke NakamuraandThe MizandTyler Bate(15:28)WWE Friday Night SmackDown #1339- TV-Show @ T-Mobile Arena in Paradise, Nevada, USA",
13,14.04.2025,,"WWE Speed Title#1 Contendership Tournament Semi Final:El Grande AmericanodefeatsErik(2:19)WWE Speed #69- Online Stream @ Golden 1 Center in Sacramento, California, USA",
14,07.04.2025,,"American Made(Brutus Creed&Julius Creed) &El Grande AmericanodefeatLWO(Cruz Del Toro,Dragon Lee&Joaquin Wilde) (10:29)WWE Monday Night RAW #1663- Online Stream @ Target Center in Minneapolis, Minnesota, USA",
15,30.03.2025,,"PentadefeatsChad GableWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",
16,29.03.2025,,"PentadefeatsChad GableWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",
17,24.03.2025,,"El Grande AmericanodefeatsDragon Lee(8:58)WWE Monday Night RAW #1661- Online Stream @ OVO Hydro in Glasgow, Scotland, UK",
18,16.03.2025,,"PentadefeatsChad GableWWE Road To WrestleMania- House Show @ ZAG Arena in Hannover, Niedersachsen, Deutschland",
19,15.03.2025,,"PentadefeatsChad GableWWE Road To WrestleMania- House Show @ Westfalenhalle in Dortmund, Nordrhein-Westfalen, Deutschland",
20,01.02.2025,,"Royal Rumble:Jey UsodefeatsAJ StylesandAndradeandBraun StrowmanandBron BreakkerandCarmelo HayesandChad GableandCM PunkandDamian PriestandDominik MysterioandDrew McIntyreandFinn BalorandIShowSpeedandJacob FatuandJimmy UsoandJoe HendryandJohn CenaandLA KnightandLogan PaulandLudwig KaiserandOtisandPentaandRey MysterioandRoman ReignsandSami ZaynandSantos EscobarandSeth RollinsandSheamusandShinsuke NakamuraandThe Miz(80:11)WWE Royal Rumble 2025- Premium Live Event @ Lucas Oil Stadium in Indianapolis, Indiana, USA",
21,31.01.2025,,"WWE Speed Title:Dragon Lee(c) defeatsChad Gable(4:23)WWE Speed #55- Online Stream @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",
22,24.01.2025,,"WWE Speed Title#1 Contendership Tournament Final:Chad GabledefeatsChris Sabin(2:42)WWE Speed #54- Online Stream @ Moody Center in Austin, Texas, USA",
23,13.01.2025,,"PentadefeatsChad Gable(13:21)WWE Monday Night RAW #1651- Online Stream @ SAP Center in San Jose, California, USA",
24,10.01.2025,,"WWE Speed Title#1 Contendership Tournament Semi Final:Chad GabledefeatsCharlie Dempsey(2:57)WWE Speed #52- Online Stream @ Moda Center in Portland, Oregon, USA",
25,30.12.2024,,"Chad GabledefeatsOtis(9:24)WWE Monday Night RAW #1649- TV-Show @ Toyota Center in Houston, Texas, USA",
26,29.12.2024,,"Seth RollinsdefeatsChad GableWWE Live Holiday Tour- House Show @ Allstate Arena in Rosemont, Illinois, USA",
27,27.12.2024,,"Dark:Jey UsodefeatsChad GableWWE Friday Night SmackDown #1323- Dark Match @ Amalie Arena in Tampa, Florida, USA",
28,16.12.2024,,"Chad GabledefeatsAkira Tozawa(2:10)WWE Monday Night RAW #1648- TV-Show @ TD Garden in Boston, Massachusetts, USA",
29,06.12.2024,,"Cody RhodesdefeatsChad Gable(12:21)WWE Friday Night SmackDown #1320- TV-Show @ Target Center in Minneapolis, Minnesota, USA",
30,11.11.2024,,"Mixed:LWO(Rey Mysterio&Zelina Vega) defeatAmerican Made(Chad Gable&Ivy Nile) (9:58)WWE Monday Night RAW #1643- TV-Show @ Van Andel Arena in Grand Rapids, Michigan, USA",
31,03.11.2024,,"Dragon LeedefeatsChad Gable(11:58)WWE Monday Night RAW #1641- TV-Show @ Mohammed Abdo Arena in Riyadh, Saudi-Arabien",
32,28.10.2024,,"Chad GabledefeatsR-Truth(4:04)WWE Main Event #633- Online Stream @ Hershey, Pennsylvania, USA",
33,16.10.2024,,"WWE World Heavyweight  Title:Gunther(c) defeatsChad GableWWE Live- House Show @ Co-op Live in Manchester, Greater Manchester, England, UK",
34,15.10.2024,,"WWE World Heavyweight  Title:Gunther(c) defeatsChad GableWWE Live- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",
35,14.10.2024,,"WWE World Heavyweight  Title:Gunther(c) defeatsChad GableWWE Live- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",
36,13.10.2024,,"WWE World Heavyweight  Title:Gunther(c) defeatsChad GableWWE Live- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",
37,30.09.2024,,"Chad GabledefeatsKofi Kingston(9:35)WWE Monday Night RAW #1636- TV-Show @ Ford Center in Evansville, Indiana, USA",
38,29.09.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed)WWE SuperShow- House Show @ Von Braun Civic Center in Huntsville, Alabama, USA",
39,28.09.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed)WWE SuperShow- House Show @ Columbus Civic Center in Columbus, Georgia, USA",
40,09.09.2024,,"Mixed Street Fight:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatAmerican Made(Brutus Creed,Chad Gable,Ivy Nile&Julius Creed) (16:55)WWE Monday Night RAW #1633- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",
41,26.08.2024,,"Uncle HowdydefeatsChad Gable(13:58)WWE Monday Night RAW #1631- TV-Show @ Amica Mutual Pavilion in Providence, Rhode Island, USA",
42,05.08.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed) (12:19)WWE Monday Night RAW #1628- TV-Show @ CFG Bank Arena in Baltimore, Maryland, USA",
43,02.08.2024,,"Dark:Braun StrowmandefeatsChad GableWWE Friday Night SmackDown #1302- Dark Match @ Rocket Mortgage FieldHouse in Cleveland, Ohio, USA",
44,14.07.2024,,"WWE Intercontinental Title:Sami Zayn(c) defeatsChad GableWWE SuperShow Summer Tour - Tag 6- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",
45,13.07.2024,,"WWE Intercontinental Title:Sami Zayn(c) defeatsChad GableWWE SuperShow Summer Tour - Tag 5- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",
46,08.07.2024,,"Jey UsodefeatsChad Gable(7:19)WWE Monday Night RAW #1624- TV-Show @ Canadian Tire Centre in Ottawa, Ontario, Canada",
47,06.07.2024,,"Money In The Bank Ladder:Drew McIntyredefeatsAndradeandCarmelo HayesandChad GableandJey UsoandLA Knight(16:30)WWE Money In The Bank 2024- Premium Live Event @ Scotiabank Arena in Toronto, Ontario, Canada",
48,05.07.2024,,"DarkWWE Intercontinental Title:Sami Zayn(c) defeatsChad GableWWE Friday Night SmackDown #1298- Dark Match @ Scotiabank Arena in Toronto, Ontario, Canada",
49,24.06.2024,,"Money In The Bank Qualifying Triple Threat:Chad GabledefeatsBraun StrowmanandBronson Reed(8:23)WWE Monday Night RAW #1622- TV-Show @ Gainbridge Fieldhouse in Indianapolis, Indiana, USA",
50,17.06.2024,,"Braun StrowmandefeatsChad Gable(6:33)WWE Monday Night RAW #1621- TV-Show @ American Bank Center in Corpus Christi, Texas, USA",
51,15.06.2024,,"WWE Intercontinental Title:Sami Zayn(c) defeatsChad Gable(22:13)WWE Clash At The Castle 2024- Premium Live Event @ OVO Hydro in Glasgow, Scotland, UK",
52,02.06.2024,,"WWE Intercontinental TitleTriple Threat:Sami Zayn(c) defeatsBronson ReedandChad GableWWE SuperShow Summer Tour - Tag 2- House Show @ Visions Veterans Memorial Arena in Binghamton, New York, USA",
53,01.06.2024,,"WWE Intercontinental TitleTriple Threat:Sami Zayn(c) defeatsBronson ReedandChad GableWWE SuperShow Summer Tour - Tag 1- House Show @ Westchester County Center in White Plains, New York, USA",
54,25.05.2024,,"WWE Intercontinental TitleTriple Threat:Sami Zayn(c) defeatsBronson ReedandChad Gable(13:39)WWE King And Queen Of The Ring 2024- Premium Live Event @ Jeddah Super Dome in Jeddah, Saudi-Arabien",
55,24.05.2024,,"Dark:Cody Rhodes&Sami ZayndefeatAlpha Academy(Chad Gable&Otis)WWE Friday Night SmackDown #1292- Dark Match @ Jeddah Super Dome in Jeddah, Saudi-Arabien",
56,20.05.2024,,"Chad GabledefeatsSami Zayn(16:07)WWE Monday Night RAW #1617- TV-Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",
57,06.05.2024,,"Bronson Reedvs.Chad Gable- No Contest (2:40)WWE Monday Night RAW #1615- TV-Show @ XL Center in Hartford, Connecticut, USA",
58,02.05.2024,,"GuntherdefeatsChad GableWWE Live- House Show @ Stadthalle Halle D in Wien, Österreich",
59,01.05.2024,,"WWE World Heavyweight  TitleFour Way:Damian Priest(c) defeatsChad GableandGuntherandJey UsoWWE Live- House Show @ Unipol Arena in Bologna, Italien",
60,26.04.2024,,"Dark:SheamusdefeatsChad Gable(5:45)WWE Friday Night SmackDown #1288 - Draft 2024- Dark Match @ Heritage Bank Center in Cincinnati, Ohio, USA",
61,20.04.2024,,"WWE Intercontinental TitleFour Way:Sami Zayn(c) defeatsChad GableandFinn BalorandGuntherWWE Live- House Show @ SSE Arena in Belfast, Northern Ireland, UK",
62,19.04.2024,,"WWE Intercontinental TitleFour Way:Sami Zayn(c) defeatsChad GableandFinn BalorandGuntherWWE Live- House Show @ The O2 in London, England, UK",
63,18.04.2024,,"WWE Intercontinental TitleFour Way:Sami Zayn(c) defeatsChad GableandFinn BalorandGuntherWWE Live- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",
64,17.04.2024,,"WWE Intercontinental TitleFour Way:Sami Zayn(c) defeatsChad GableandFinn BalorandGuntherWWE Live- House Show @ Resorts World Arena in Birmingham, West Midlands, England, UK",
65,15.04.2024,,"WWE Intercontinental Title:Sami Zayn(c) defeatsChad Gable(17:15)WWE Monday Night RAW #1612- TV-Show @ Bell Centre in Montreal, Quebec, Canada",
66,08.04.2024,,"Chad Gable&Sami ZayndefeatImperium(Giovanni Vinci&Ludwig Kaiser) (12:22)WWE Monday Night RAW #1611- TV-Show @ Wells Fargo Center in Philadelphia, Pennsylvania, USA",
