date,event,result,location,image_url
1,11.12.2001,,"Dean MalenkodefeatsChad Collyerby DQHWA- Event @ Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
2,09.08.2001,,"Dean Malenko&Perry SaturndefeatJustin Credible&Raven4th Annual Brian Pillman Memorial Show- Event @ Oak Hills High School in Oak Hills, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
3,28.07.2001,,"David FlairdefeatsDean MalenkoNWA OVW- Event @ Jeffersonville, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
4,03.07.2001,,"Scotty 2 HottydefeatsDean Malenko(4:10)WWF SmackDown #99- TV-Show @ Tacoma Dome in Tacoma, Washington, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
5,27.06.2001,,"NWA OVW Southern Tag Team Title:Brian Keck[Replacement for Shelton Benjamin] &Brock Lesnar(c) defeatThe Radicalz(Dean Malenko&Perry Saturn) (9:01)NWA OVW Last Dance- Event @ Louisville Gardens in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
6,26.06.2001,,"Dark:Dean MalenkodefeatsTaka MichinokuWWF Sunday Night Heat #153- Dark Match @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
7,10.06.2001,,"Three Way Elimination:The Hollys(Crash&Hardcore Holly) defeatThe Radicalz(Dean Malenko&Perry Saturn) andThe Dudley Boyz(Bubba Ray Dudley&D-Von Dudley)WWF House Show- House Show @ Hampton Roads Coliseum in Hampton Roads, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
8,05.06.2001,,"The Dudley Boyz(Bubba Ray Dudley&D-Von Dudley) defeatThe Radicalz(Dean Malenko&Perry Saturn) (5:03)WWF SmackDown #95- TV-Show @ Alerus Center in Grand Forks, North Dakota, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
9,03.06.2001,,"Dean MalenkodefeatsSteve BlackmanWWF House Show- House Show @ Winnipeg Arena in Winnipeg, Manitoba, Canada",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
10,27.05.2001,,"Four Way Elimination:The X-Factor(Justin Credible&X-Pac)besiegen The Radicalz (Dean Malenko&Perry Saturn) andThe APA(Bradshaw&Faarooq) andThe Dudley Boyz(Bubba Ray Dudley&D-Von Dudley)WWF House Show- House Show @ PNE Coliseum in Vancouver, British Columbia, Canada",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
11,26.05.2001,,"Four Way Elimination:The X-Factor(Justin Credible&X-Pac) defeatThe Radicalz(Dean Malenko&Perry Saturn) andThe APA(Bradshaw&Faarooq) andThe Dudley Boyz(Bubba Ray Dudley&D-Von Dudley)WWF House Show- House Show @ Delta Center in Salt Lake City, Utah, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
12,22.05.2001,,"Dean MalenkodefeatsRaven(2:32)WWF SmackDown #93- TV-Show @ Arrowhead Pond in Anaheim, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
13,21.05.2001,,"The APA(Bradshaw&Faarooq) defeatThe Radicalz(Dean Malenko&Perry Saturn) (5:36)WWF RAW is WAR #417- TV-Show @ Compaq Center in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
14,20.05.2001,,"WWF World Tag Team Title#1 Contendership Tag Team Turmoil:Chris Benoit&Chris JerichodefeatChristian&EdgeandThe APA(Bradshaw&Faarooq) andThe Dudley Boyz(Bubba Ray Dudley&D-Von Dudley) andThe Hardy Boyz(Jeff Hardy&Matt Hardy) andThe Radicalz(Dean Malenko&Perry Saturn) andThe X-Factor(Justin Credible&X-Pac) (25:53)WWF Judgment Day 2001- Pay Per View @ Arco Arena in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/4/48/Dean_Malenko.jpg
