date,event,result,location,image_url
1,12.09.2025,,"AAA Mega Title:Dominik MysteriodefeatsEl Hijo del Vikingo(c) (18:21) -TITLE CHANGE !!!AAA x WWE Worlds Collide 2025: Las Vegas- Online Stream @ Cox Pavilion At Thomas & Mack Center in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
2,16.08.2025,,"AAA Mega TitleFatal Four Way:El Hijo del Vikingo(c) defeatsDominik MysterioandDragon LeeandEl Grande Americano(15:04)AAA TripleMania XXXIII- Online Stream @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
3,16.07.2025,,"Los Garza(Angel&Berto) defeatEl Hijo del Vikingo&Nino HamburguesaAAA Alianzas- TV-Show @ Arena Potosi in San Luis Potosi, San Luis Potosi, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
4,11.07.2025,,"Alberto El Patron&El MesiasdefeatEl Hijo del Vikingo&King Vikingo(14:26)AAA Verano De Escandalo 2025- Event @ Arena San Marcos in Aguascalientes, Aguascalientes, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
5,15.06.2025,,"AAA Mega TitleSteel Cage:El Hijo del Vikingo(c) defeatsAlberto El Patron(26:04)AAA TripleMania Regia 2025- Online Stream @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
6,07.06.2025,,"AAA Mega Title:El Hijo del Vikingo(c) defeatsChad Gable(22:00)AAA x WWE Worlds Collide 2025: Los Angeles- Online Stream @ The Kia Forum in Inglewood, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
7,31.05.2025,,"AAA Mega Title:El Hijo del VikingodefeatsAlberto El Patron(c) (17:41) -TITLE CHANGE !!!AAA Alianzas- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
8,11.05.2025,,"???,El Hijo del Vikingo&Kempo Jr.defeatAbismo Negro Jr.,Aereo& Silver KatAAA- Event @ Arena Corner Sport in Chihuahua, Chihuahua, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
9,03.05.2025,,"No Disqualification (Special Referee: Latin Lover):El Patron Alberto&Nueva Generacion Dinamita(Forastero&Sanson) defeatEl Hijo del Vikingo,Negro Casas&Pagano(25:34)AAA Alianzas- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
10,27.04.2025,,"TNA X-Division TitleUltimate X:Moose(c) defeatsEl Hijo del VikingoandKC NavarroandLeon SlaterandMatt CardonaandSidney Akeem(15:23)TNA Rebellion 2025- Pay Per View @ Galen Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
11,05.04.2025,,"Alas De Oro:Mascara de Broncedefeats Dragon Suicida and Cobre andEl Hijo del Vikingoand hell Boy andLaredo KidandMini VikingoPromociones Rosales- Event @ Explanada de la Iglesia in San Lorenzo Tezonco, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
12,29.03.2025,,"Cibernetico,El Hijo del Vikingo&Nino HamburguesadefeatDMT Azul,El Mesias&El Patron AlbertoAAA Alianzas- Online Stream @ Plaza de Toros Calafia in Mexicali, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
13,28.03.2025,,"El Hijo del Vikingo&PaganodefeatD'Luxe&Oraculo(11:38)AAA Alianzas- Online Stream @ Estadio Antonio Palacios in Ensenada, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
14,23.03.2025,,"Three Way:El Hijo del VikingodefeatsBrian Villaand KaijuCorazon De Lucha- Event @ Arena Jalisco in Guadalajara, Jalisco, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
15,22.03.2025,,"AAA Mega Title:Alberto El Patron(c) defeatsEl Hijo del Vikingo(23:26)AAA Rey De Reyes 2025- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
16,18.03.2025,,"El Hijo del Vikingo&Octagon Jr.defeatKaris La Momia Jr.&Laredo KidLLPN- Event @ Gimnasio Beto Estrada in Piedras Negras, Coahuila, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
17,17.03.2025,,"Three Way:El Hijo del VikingodefeatsKaris La Momia Jr.andOctagon Jr.(16:08)Promociones Cantu- Online Stream @ Plaza de Toros Lauro Luis Longoria in Nuevo Laredo, Tamaulipas, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
18,16.03.2025,,"El Hijo del Vikingo,El Hijo de Mascara Sagrada& Rey Astral defeatEl Hijo del Fishman, Estrellato &Mafiosoby DQPanther Promotion- Event @ Arena Coliseo Reynosa in Reynosa, Tamaulipas, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
19,15.03.2025,,"El Hijo del Vikingo&LA ParkdefeatDMT Azul&El Hijo de Dr. Wagner Jr.(21:24)Promociones Tao- Event @ Auditorio General Jose Maria Arteaga in Santiago de Queretaro, Queretaro, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
20,21.02.2025,,"QPW King Of Ladders TitleSix Way:ShaheendefeatsCaprice Coleman(c) andEl Reversoand Psycho andSky DrakoandEl Hijo del Vikingo-TITLE CHANGE !!!QPW Super Slam III - Tag 1- Pay Per View @ Aspire Ladies Sports Hall in Doha, Katar",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
21,15.02.2025,,"El Hijo del Vikingo,Nino Hamburguesa&Octagon Jr.defeatNueva Generacion Dinamita(Forastero&Sanson) &DMT Azulby DQ (12:05)AAA Alianzas- Online Stream @ Gimnasio Olimpico Juan de la Barrera in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
22,04.02.2025,,"Aero Star,El Hijo del Vikingo&Octagon Jr.defeatLos Vipers(Abismo Negro Jr.,El Fiscal&Taurus)AAA- Event @ Zocalo Emiliano Zapata, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
23,02.02.2025,,"El Hijo del Vikingo,Myzteziz Jr.&Octagon Jr.defeatLa Familia Real(El Hijo de LA Park&LA Park Jr.) &SansonPCM Invasion- Event @ Auditorio Guelaguetza in Oaxaca, Oaxaca, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
24,01.02.2025,,"Three Way:The Rascalz(Trey Miguel&Zachary Wentz) defeatLos Jinetes del Aire(El Hijo del Vikingo&Laredo Kid) andDestiny&Rey HorusAAA Alianzas- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
25,31.01.2025,,"El Hijo del Vikingo&Psycho ClowndefeatLos Vipers(Abismo Negro Jr.&Taurus)AAA- Event @ Salon Rojo del Club Toluca in Toluca, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
26,19.01.2025,,"Sidney AkeemdefeatsEl Hijo del Vikingo(10:33)GCW The People Vs. GCW 2025- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
27,04.01.2025,,"Los Jinetes del Aire(El Hijo del Vikingo,Myzteziz Jr.&Octagon Jr.) defeatAero Star,Laredo Kid&Super FlyAAA Tradicional Funcion De Reyes Magos- Event @ Gimnasio Miguel Hidalgo in Heroica Puebla de Zaragoza, Puebla, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
28,29.12.2024,,"El Hijo del Vikingovs.Kid Lykos II- No Contest (16:00)PROGRESS Chapter 175: Unboxing VII: The Curtain Call- Pay Per View @ Electric Ballroom in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
29,19.12.2024,,"Mala Fama(Arez,Latigo&Toxin) &Mexa Boy's(Noisy Boy&Spider Fly) defeatBendito,Colmillo De Plata,El Hijo del Vikingo,Garra De Oro&Laredo KidIWRG Revolucion 62- Online Stream @ Arena Naucalpan in Naucalpan de Juarez, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
30,08.12.2024,,"Tokyo Bad Boys(Kento,Nobu San&Takuma) defeatEl Hijo del Vikingo,Emperador Azteca&Oni El Bendito(9:27)AAA Cierre De La Gira Origenes- Online Stream @ Gimnasio Nuevo Leon Unido in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
31,07.12.2024,,"El Hijo del Vikingo,Pagano&Vampiro CanadiensedefeatNueva Generacion Dinamita(Forastero&Sanson) &Sam AdonisAAA/TWP- Event @ Palenque del FEX in Mexicali, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
32,06.12.2024,,"El Hijo del Vikingo&Mecha WolfdefeatLos Golpeadores(Alpha Wolf&Dragon Bane)AAA- Event @ Auditorio de Tijuana in Tijuana, Baja California, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
33,17.11.2024,,"El Hijo del Vikingo&Octagon Jr.defeatAlberto El Patron&El Mesiasby DQAAA Origenes- Event @ Lienzo Charro Prof. Enrique Gonzalez in Saltillo, Coahuila, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
34,03.11.2024,,"El Hijo del Vikingo,Octagon Jr.& Pitagoras Jr. defeatAbismo Negro Jr., Perfil &Unico Jr.Panther Promotion PantherMania VIII Final- Event @ Gimnasio Multidisiplinario UAT Reynosa in Reynosa, Tamaulipas, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
35,27.10.2024,,"Dark:El Hijo del Vikingovs.Trent Seven- No ContestTNA iMPACT #1058 - Halloween- Dark Match @ Wayne State Fieldhouse in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
36,26.10.2024,,"TNA X-Division Title:Mike Bailey(c) defeatsEl Hijo del Vikingo(14:55)TNA Bound For Glory 2024- Pay Per View @ Wayne State Fieldhouse in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
37,19.10.2024,,"El Hijo del Vikingo&Laredo Kiddefeat Estrellato &Kaoma Jr.3 Bat Hallowmania XV- Event @ Brownsville Sports Park in Brownsville, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
38,18.10.2024,,"Nic NemethdefeatsEl Hijo del Vikingo(13:34)HOG Salvation 2024- Pay Per View @ NYC Arena in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
39,12.10.2024,,"DREAMWAVE World Title:El Hijo del VikingodefeatsConnor Hopkins(c) by DQ (13:41)DREAMWAVE Trick Or Treat- Online Stream @ Knights Of Columbus Hall in LaSalle, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
40,09.10.2024,,"El Hijo del VikingodefeatsSoma Watanabe(13:40)GLEAT Ver. EX ~ GLEAT Vs. Kyoteki 2024- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
41,06.10.2024,,"CIMA&RicochetdefeatEl Hijo del Vikingo&Soma Watanabe(14:12)GLEAT Ver. MEGA In OSAKA- Online Stream @ EDION Arena Osaka in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
42,29.09.2024,,"El Hijo del Vikingo,Laredo Kid&Octagon Jr.defeatBelcegor,Emperador Azteca&TaurusAAA Origenes- Event @ Gimnasio Nuevo Leon Unido in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
43,17.02.2024,,"Negocio Traumado(Demonio Infernal,Fresero Jr.&Trauma I) defeatEl Hijo del Vikingo,Psycho Clown&Wotanby DQAULL Rencor Extremo- Event @ Arena Lopez Mateos in Tlalnepantla, Estado de Mexico, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/d3/El_Hijo_del_Vikingo%2C_Jan_2023.jpg
