date,event,result,location,image_url
1,27.08.2025,,"WWE Tag Team  Title:The Wyatt Sicks(Erick Rowan&Uncle Howdy) (c) defeatLA Knight&Rey FenixWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
2,20.07.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatFraxiom(Axiom&Nathan Frazer) &The Motor City Machine Guns(Alex Shelley&Chris Sabin)WWE SuperShow- House Show @ Bert Ogden Arena in Edinburg, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
3,19.07.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatFraxiom(Axiom&Nathan Frazer) &The Motor City Machine Guns(Alex Shelley&Chris Sabin)WWE SuperShow- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
4,30.06.2025,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) defeatBerto,Chris Sabin,Johnny Gargano&Montez Ford(10:37)WWE Friday Night SmackDown #1350- TV-Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
5,29.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ Allstate Arena in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
6,28.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
7,27.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
8,26.12.2024,,"Mixed:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatThe Final Testament(Akam,Karrion Kross,Rezar&Scarlett)WWE Live Holiday Tour- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
9,09.12.2024,,"The Final Testament(Akam,Karrion Kross&Rezar) &The MizdefeatThe Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Uncle Howdy) (9:05)WWE Monday Night RAW #1646- TV-Show @ INTRUST Bank Arena in Wichita, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
10,29.09.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed)WWE SuperShow- House Show @ Von Braun Civic Center in Huntsville, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
11,28.09.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed)WWE SuperShow- House Show @ Columbus Civic Center in Columbus, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
12,09.09.2024,,"Mixed Street Fight:The Wyatt Sicks(Dexter Lumis,Erick Rowan,Joe Gacy&Nikki Cross) defeatAmerican Made(Brutus Creed,Chad Gable,Ivy Nile&Julius Creed) (16:55)WWE Monday Night RAW #1633- TV-Show @ Scotiabank Saddledome in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
13,05.08.2024,,"The Wyatt Sicks(Dexter Lumis,Erick Rowan&Joe Gacy) defeatAmerican Made(Brutus Creed,Chad Gable&Julius Creed) (12:19)WWE Monday Night RAW #1628- TV-Show @ CFG Bank Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
14,24.02.2024,,"Erick Redbeard,Leo Fox&Rikerdefeat David Jason Rose, Joe Helms &Sam StackhouseWFC Slamzapalooza 2024- Event @ Miami Civic Center in Miami, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
15,14.01.2024,,"RowandefeatsNate NixonRCW Follow The Screams- Event @ Norwood Legion in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
16,13.01.2024,,"RowandefeatsCody MacRCW The Hills Has Fist- Event @ Dinosaur Downs Speedway in Drumheller, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
17,12.01.2024,,"RCW Canadian Heavyweight Title:Harlon Abbott(c) defeatsRowanRCW News Year's Redemption- Event @ Royal Canadian Legion #1 in Calgary, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
18,29.10.2023,,"Erick RedbearddefeatsIestyn ReesEWE Neon Massacre- Event @ The Neon in Newport, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
19,13.10.2023,,"Jack J. BonzadefeatsErick Redbeard(15:37)WSW Full Throttle - Tag 6- Pay Per View @ Panthers Penrith Rugby Leagues Club in Sydney, New South Wales, Australia",https://upload.wikimedia.org/wikipedia/commons/0/01/Erick_Rowan_WrestleMania_32_Axxess.jpg
