date,event,result,location,image_url
1,15.03.2025,,"FWE Heavyweight   Title Three Way:FodderdefeatsSylvain Grenier(c) andEzekiel Jackson-TITLE CHANGE !!!FWE Full Throttle- Event @ Sports HQ in Cary, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
2,18.10.2015,,"Big Ryck&The Champions Of Champions(Absolute Andy&John Klinger) defeatKarsten Beck&Reich Und Schön(Kevin Roadster&Marius van Beethoven) (17:23)wXw 15th Anniversary Tour: Saarbrücken- Event @ N8Werk in Saarbrücken, Saarland, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
3,17.10.2015,,"wXw Unified World Wrestling Title:Karsten Beck(c) defeatsBig RyckwXw SlamMania III- Event @ Maimarktclub in Mannheim, Baden-Württemberg, Deutschland",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
4,16.10.2015,,"SWE TitleStreet Fight:Drake Destroyer(c) defeatsBig RyckSWE King Of Switzerland II- Event @ Sternensaal Bümpliz in Schönbühl, Bern, Schweiz",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
5,04.07.2015,,"SWE Title:Big RyckdefeatsDrake Destroyer(c) by Count OutSWE American Wrestling Night- Event @ Sternensaal Bümpliz in Schönbühl, Bern, Schweiz",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
6,28.06.2015,,"Best Two Out Of Three Falls:Big Ryck&Volador Jr.defeatRush&Shelton Benjaminby DQ [2:1]All Elite- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
7,19.04.2015,,"Gift Of The Gods TitleSeven Way Match (vakant):FenixdefeatsAero StarandBengalaandBig RyckandJack EvansandKing CuernoandSexy Star(12:14) -TITLE CHANGE !!!Lucha Underground #1.39 - Ultima Lucha Part 2- TV-Show @ Lucha Underground Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
8,28.03.2015,,"12 Man:The Dudley Boyz(Bubba Ray Dudley&D-Von Dudley),Big Ryck,Colt Cabana,Matt Sydal&Tommy DreamerdefeatAbyss,Brian Myers,Chris Hero,Drew Gulak,James Storm&Tommaso Ciampa(22:31)WrestleCon SuperShow 2015- Event @ San Jose Airport Hotel in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
9,22.03.2015,,"Dark Mixed:Black Lotus,Killshot&Prince PumadefeatBig Ryck,Cheerleader Melissa&Jeff CobbLucha Underground #1.31 - The Desolation Of Drago- Dark Match @ Lucha Underground Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
10,21.03.2015,,"Lucha Underground Trios Title:Angelico,Ivelisse&Son Of Havoc(c) defeatBig Ryck,Cage&DelAvar Daivari(7:39)Lucha Underground #1.30 - Submit To The Master- TV-Show @ Lucha Underground Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
11,22.02.2015,,"Dark:The Disciples Of Death(Barrio Negro,El Siniestro de la Muerte&Trece) defeatBig Ryck,Famous B&Jeff CobbLucha Underground #1.27 - Ancient Medallions- Dark Match @ Lucha Underground Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
12,08.02.2015,,"Lucha Underground Trios TitleTournament Final Three Way Elimination Match (vakant):Angelico,Ivelisse&Son Of HavocdefeatBig Ryck,Killshot&The MackandCage,King Cuerno&Texano(13:45)Lucha Underground #1.24 - Trios Champions- TV-Show @ Lucha Underground Arena in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a2/Brian_Kendrick_and_Ezekiel.jpg
