date,event,result,location,image_url
1,22.12.2012,,"Tag Team Irish Street Fight:David Finlay Jr.&Fit FinlaydefeatDan Collins&Robbie Brookside(15:02)EWP Christmas Wrestling 2012- Event @ Hangar No. 5 in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
2,06.10.2012,,"EWP World Heavyweight Title:Cannonball Grizzly(c) vs.Fit Finlay- No Contest [Runde 7]EWP Wrestling Festival 2012 - Tag 2- Event @ Hangar No. 5 in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
3,05.10.2012,,"Fit Finlay&Robbie BrooksidedefeatGQ Gallo&Patrick Schulz(14:01)EWP Wrestling Festival 2012 - Tag 1- Event @ Hangar No. 5 in Hannover, Niedersachsen, Deutschland",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
4,20.09.2012,,"Dave FinlaydefeatsRay Mendoza Jr.(12:38)WNC- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
5,21.07.2012,,"Davey RichardsdefeatsFit FinlayAAW Scars And Stripes 2012- Event @ 115 Bourbon Street in Merrionette Park, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
6,24.06.2012,,"Michael ElgindefeatsFit Finlay(19:15)ROH Best In The World 2012 - Hostage Crisis- Pay Per View @ Hammerstein Ballroom in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
7,01.06.2012,,"Dave FinlaydefeatsDanny Boy Collins(13:44)ASW Legends Show- Event @ Fairfield Halls in Croydon, Greater London, England, UK",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
8,27.05.2012,,"AKIRA,Dave Finlay&SyuridefeatKana&Unholy Alliance(Mikey Whipwreck&TAJIRI) (19:48)WNC- Event @ Hiroshima Industrial Hall in Hiroshima, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
9,26.05.2012,,"Dave FinlaydefeatsZeus(10:53)WNC- Event @ Minami Move On Arena in Osaka, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
10,24.05.2012,,"Dave FinlaydefeatsAKIRA(18:18)WNC Starting Over- Event @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
11,18.05.2012,,"Bobby Fish&Fit FinlaydefeatBobby Ocean&Drake EvansIYFW Memories, Moments & Mayhem- Event @ America's Best Value Inn in Amsterdam, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
12,12.05.2012,,"ROH World Television Title:Roderick Strong(c) defeatsFit Finlay(17:21)ROH Border Wars 2012- Pay Per View @ Ted Reeve Community Arena in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
13,11.05.2012,,"Dave FinlaydefeatsJon Davis(24:00)EVOLVE 12: Fox vs. Callihan- Online Stream @ Metrolina Tradeshow Expo Building A in Charlotte, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/9/9a/FinlayVersusSmith.jpg
