date,event,result,location,image_url
1,22.09.2024,,"The Godfatherdefeats1MANTHRILLRIDEby Count Out (0:30)LIVE Teddy Goodz Final Match- Online Stream @ Greater New Bedford Regional Vocational Technical High School in New Bedford, Massachusetts, USA",
2,26.04.2024,,"Papa Shangodefeats This GuyBCW 57- Event @ Whitehorse Function And Convention Centre in Burwood East, Victoria, Australia",
3,13.11.2021,,"Six On Five Handicap:Don Frye,Hornswoggle, Jeff Dye,Ryan Kidd&Val Venisdefeat Art Jimmerson, Karl Herro,Mark Coleman, Matt Light,Mr. Iguana&The GodfatherAAA/American Icon Jacksonmania 3- Event @ Poway, California, USA",
4,06.03.2020,,"The Godfatherdefeats Salvatore ValcoroWOW Brooklyn Beatdown 2020- Event @ St. Finbar's Catholic Church in New York City, New York, USA",
5,22.02.2020,,"KOTA &The GodfatherdefeatThe Slammer&Vince AustinRCW High Times- Event @ Norwood Legion in Edmonton, Alberta, Canada",
6,21.02.2020,,"Giant Orion,Marky&The GodfatherdefeatTop Talent(Big Jesse Youngblood,Christian Strife&Heavy Metal)RCW Wrasslin' Ain't Easy- Event @ Royal Canadian Legion #1 in Calgary, Alberta, Canada",
7,27.12.2019,,"Three Way:Cliff Corleone&The GodfatherdefeatThe Degenerates(Dragneel&Mike Mission) andAJ Sanchez&Kevin O'DoyleCWE Spin The Wheel- Event @ Rookie's Sports in Winnipeg, Manitoba, Canada",
8,24.02.2018,,"Battle Royal:Winner:The GodfatherCIW- Event @ Union City High School in Union City, Michigan, USA",
9,27.11.2016,,"Four Way:The GodfatherdefeatsDavey BlazeandDCTandJoey RyanICW Fight Club #36- Online Stream @ The Garage in Glasgow, Scotland, UK",
10,24.10.2015,,"Scotty 2 Hotty&The Godfatherdefeat ??? & Randy WalkerBTW Halloween Havoc 2015- Event @ Barre Municipal Auditorium in Barre, Vermont, USA",
11,14.03.2015,,"The Godfathervs.Vigo- No ContestIYFW Memories, Moments & Mayhem 2015- Event @ Duanesburg Area Community Center in Delanson, New York, USA",
12,18.10.2014,,"ECCW Tag Team TitleThree Way:DTA(Daniel Adonis&Jordie Taylor) (c) defeat Supply And Demand (The Godfather&Val Venis) andEric Locker&The Ladies ChoiceECCW Halloween Hell 2014- Event @ Cloverdale Fairgrounds in Surrey, British Columbia, Canada",
