date,event,result,location,image_url
1,05.09.2025,,"Necro ButcherdefeatsHernandezby referee's decision (24:16)SVN Violent Nature- Pay Per View @ Ridgefield Park Knights Of Columbus in Ridgefield Park, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
2,19.07.2025,,"Da Latin Soldier&HernandezdefeatDakoda Orion&Madd DawgNCW Respect Is Earned 2025- Event @ St. Mary's High School in Lancaster, New York, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
3,14.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 8- Event @ Dryden Regional Training And Cultural Centre  in Dryden, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
4,14.07.2025,,"Elimination:Cam!!ikaze, Dan Jarris,Hernandez&Vinnie DaVincidefeat Danny Diggler,Danny Duggan,Kevin Cannon&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 8- Event @ Dryden Regional Training And Cultural Centre  in Dryden, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
5,13.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 7 (Show #1)- Event @ Couchiching Multi-Use Facility in Fort Frances, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
6,13.07.2025,,"Cam!!ikaze,Dann Jarris,Hernandez&Vinnie DaVincidefeatThe Double D's(Danny Diggler & Derek Diggler),Kevin Cannon&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 7 (Show #1)- Event @ Couchiching Multi-Use Facility in Fort Frances, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
7,12.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 6 (Show #1)- Event @ Moose Hall in Thunder Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
8,12.07.2025,,"Elimination:Cam!!ikaze,Hernandez, Rusty Blackwell the Backwoods Butcher &Vinnie DaVincidefeatThe Double D's(Danny Diggler & Derek Diggler),Danny Duggan&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 6 (Show #1)- Event @ Moose Hall in Thunder Bay, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
9,11.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 5 (Show #1)- Event @ Lakeview Community Hall in Marathon, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
10,11.07.2025,,"Elimination:Cam!!ikaze,Hernandez, Rusty Blackwell The Backwoods Butcher &Vinnie DaVincidefeatThe Double D's(Danny Diggler & Derek Diggler),Danny Duggan&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 5 (Show #1)- Event @ Lakeview Community Hall in Marathon, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
11,10.07.2025,,"Hernandez& Sampson defeatThe Double D's(Danny Diggler & Derek Diggler)CWE Cruel Summer Tour 2025 - Tag 4- Event @ Soo Blaster in Sault Ste Marie, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
12,10.07.2025,,"Elimination:Cam!!ikaze,Hernandez, Rusty Blackwell The Backwoods Butcher & Sampson defeatThe Double D's(Danny Diggler & Derek Diggler),Danny Duggan&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 4- Event @ Soo Blaster in Sault Ste Marie, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
13,09.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 3- Event @ West Nipissing Community & Recreation Centre in Sturgeon Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
14,09.07.2025,,"Elimination:Cam!!ikaze,Hernandez, Rusty Blackwell The Backwoods Butcher & Slater Jacobs defeatThe Double D's(Danny Diggler & Derek Diggler),Danny Duggan&Ronnie AttitudeCWE Cruel Summer Tour 2025 - Tag 3- Event @ West Nipissing Community & Recreation Centre in Sturgeon Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
15,08.07.2025,,"Danny DuggandefeatsHernandezCWE Cruel Summer Tour 2025 - Tag 2- Event @ Don Shepherdson Memorial Arena in New Liskeard, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
16,08.07.2025,,"Elimination:The Double D's(Danny Diggler & Derek Diggler),Cam!!ikaze&HernandezdefeatDann Jarris,Danny Duggan,Ronnie Attitude& Slater JacobsCWE Cruel Summer Tour 2025 - Tag 2- Event @ Don Shepherdson Memorial Arena in New Liskeard, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
17,07.06.2025,,"TCW Tag Team         Title:Hated Worldwide (Angel Angels & Sammy Love) (c) defeatHernandez& The Renegade OutlawTCW Declaration Of War- Event @ National Guard Armory in Laurinburg, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
18,08.05.2025,,"HernandezdefeatsKrule(8:09)RCCW Wrestlingcon 8- Event @ Rocket City Arena in Hazel Green, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
19,08.05.2025,,"Wrestlingcon Rumble:Brick AldridgedefeatsAdam PriestandAnthony CatenaandBam Bam BundyandBig Bad Wolfand Blue Lightning and Brady Payne andBrandon CashandBraxandBrayden Toonand Chris Kelly andChristian Pierceand Dale Jackson and Damon Crowe and Eddie Toon and El Pollo Diablo andHernandezand J-Son Esquire andJames CiceroandJames HardyandJay BladeandJohnny RodriguezandJoshua O'HaganandJustin FleauxandKruleand LG3 and Mayhem andMike JacksonandMr. Tibodeauxand Nick Cicero andOrion BishopandRhome SenjuandSam AdonisandSinn Bodhiand Skitzo andSteven MichaelsandZeus Thundar(66:51)RCCW Wrestlingcon 8- Event @ Rocket City Arena in Hazel Green, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
20,05.04.2025,,"Sac-Town Street Fight:Daniel TorchdefeatsShawn HernandezTWF Rio Mania XXII- Online Stream @ Colonial Theatre in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
21,14.12.2024,,"Michael Sean &Shawn HernandezdefeatDaniel Torch&Vinnie MassaroTWF Wreck The Halls 2024- Online Stream @ Colonial Theatre in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
22,20.10.2024,,"La Familia Real(El Hijo de LA Park&LA Park) defeatHernandez&Oni El BenditoEn Vivo Lucha Libre Celebrando El 3er Aniversario- Event @ Club Mesquite in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
23,19.10.2024,,"TMW Heavyweight  TitleThree Way:The Manimal(c) defeatsDa ShadeandHernandezTMW Death Proof- Event @ Paul Huber Middle School in Douglas, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
24,10.08.2024,,"Shawn HernandezdefeatsDaniel TorchTWF SummerFest 2024- Event @ Colonial Theatre in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/5/56/ES-es_-_Hern%C3%A1ndez.ogg
