date,event,result,location,image_url
1,08.09.2025,,"The War Raiders(Erik&Ivar) defeatLWO(Cruz Del Toro&Joaquin Wilde) (4:24)WWE Main Event #676- Online Stream @ Fiserv Forum in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
2,01.09.2025,,"Penta&The War Raiders(Erik&Ivar) defeatGrayson Waller&The New Day(Kofi Kingston&Xavier Woods) (8:24)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
3,29.08.2025,,"Dark Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Friday Night SmackDown #1358- Dark Match @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
4,28.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
5,28.08.2025,,"Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
6,27.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
7,27.08.2025,,"Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
8,26.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
9,24.08.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatThe War Raiders(Erik&Ivar)WWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
10,23.08.2025,,"The Vision(Bron Breakker&Bronson Reed) defeatThe War Raiders(Erik&Ivar)WWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/b/b3/Smilga.jpg
