date,event,result,location,image_url
1,11.12.2022,,"Braun Strowman,Jamie Noble&The Brawling Brutes(Butch&Ridge Holland) defeatThe Bloodline(Jey Uso,Jimmy Uso,Sami Zayn&Solo Sikoa)WWE Live Holiday Tour- House Show @ Charleston Coliseum in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
2,08.06.2015,,"Two On One Handicap:J&J Security(Jamie Noble&Joey Mercury) defeatSeth Rollins(9:01)WWE Monday Night RAW #1150- TV-Show @ Smoothie King Center in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
3,11.05.2015,,"Two On One Handicap:Dean AmbrosedefeatsJ&J Security(Jamie Noble&Joey Mercury) (5:18)WWE Monday Night RAW #1146- TV-Show @ U.S. Bank Arena in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
4,23.03.2015,,"Three On One Handicap:Randy OrtondefeatsThe Authority(Jamie Noble,Joey Mercury&Seth Rollins) (3:21)WWE Monday Night RAW #1139- TV-Show @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
5,09.02.2015,,"Five On Two Handicap:Daniel Bryan&Roman ReignsdefeatThe Authority(Jamie Noble,Joey Mercury,Kane,Seth Rollins&The Big Show) (7:38)WWE Monday Night RAW #1133- TV-Show @ Value City Arena At The Jerome Schottenstein Center in Columbus, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
6,03.02.2015,,"Three On One Handicap:Daniel BryandefeatsThe Authority(Jamie Noble,Joey Mercury&Seth Rollins) (14:12)WWE Thursday Night SmackDown #807- TV-Show @ World Arena in Colorado Springs, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
7,24.11.2014,,"Three On Two Handicap:Dolph Ziggler&John CenadefeatThe Authority(Jamie Noble,Joey Mercury&Seth Rollins) (10:05)WWE Monday Night RAW #1122- TV-Show @ Bankers Life Fieldhouse in Indianapolis, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
8,13.01.2013,,"Jamie NobledefeatsTensaiWWE RAW House Show- House Show @ American Bank Center in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
9,12.01.2013,,"Jamie NobledefeatsTensaiWWE RAW House Show- House Show @ Laredo Energy Arena in Laredo, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
10,28.12.2012,,"FandangodefeatsJamie NobleWWE SmackDown House Show- House Show @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
11,27.12.2012,,"FandangodefeatsJamie NobleWWE SmackDown House Show- House Show @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/6/6f/JamesGibsonNovember2007.png
