date,event,result,location,image_url
1,25.03.2016,,"Baby DolldefeatsJim CornetteBTW- Event @ Collett Street Recreation Center in Morganton, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
2,27.02.2016,,"Baby DolldefeatsJim CornetteBTW- Event @ Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
3,09.05.2015,,"War Machine(Big Jon&Eric Locker) &Josh AshcraftdefeatDanny Davis,Jim Cornette&Trailer Park TrashOVW Saturday Night Special - Retribution 2015- Event @ Davis Arena in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
4,29.09.2007,,"Bobby FultondefeatsJim CornetteBTW- Event @ Fairgrounds in Circleville, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
5,19.11.2005,,"Brad Armstrong,Jeff Hardy&Jerry LawlerdefeatThe Midnight Express(Bobby Eaton&Dennis Condrey) &Jim Cornette(14:32)CCW A Tribute To Starrcade- Event @ Memorial Auditorium in Spartanburg, South Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
6,07.02.2004,,"Jim Cornette&Johnny JeterdefeatMark Magnus&NikitaOVW Crusade Slamfest- Event @ Davis Arena in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
7,31.03.2002,,"Brian Christopher&Jerry LawlerdefeatDavid Flair&Jim Cornette(11:32)Tojo Yamamoto Memorial Show- Event @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
8,01.04.2001,,"Gimmick Battle Royal:The Iron SheikdefeatsBrother LoveandBushwhacker ButchandBushwhacker LukeandDoinkandDuke DroeseandEarthquakeandHillbilly JimandJames E. CornetteandKamalaandKim CheeandMichael HayesandNikolai VolkoffandRepo ManandSgt. SlaughterandThe Gobbledy GookerandThe GoonandThe One Man GangandTugboat(3:50)WWF WrestleMania X-Seven - ""Houston... We Have A Problem""- Pay Per View @ Reliant Astrodome in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
9,05.02.2000,,"Lumberjack:Randy HalesdefeatsJim CornettePPW Memphis TV- TV-Show @ WMC-TV5 Studio in Memphis, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
10,19.01.2000,,"Damaja,Jim Cornette&Rob ConwaydefeatBull Buchanan,Kenny Bolin&Nick DinsmoreNWA OVW River City Rumble- Event @ Louisville Gardens in Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
11,12.10.1999,,"Two On One Handicap:Flash FlanagandefeatsJim Cornette& Robert BriscoNWA OVW- Event @ Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
12,12.10.1999,,"Two On One Handicap:Flash FlanagandefeatsJim Cornette& Robert BriscoNWA OVW- Event @ Louisville, Kentucky, USA",https://upload.wikimedia.org/wikipedia/commons/7/74/Cornette_and_NWA_World_Heavyweight_Champion_Pearce.jpg
