date,event,result,location,image_url
1,31.08.2025,,"Best Two Out Of Three Falls:Galeon Fantasma(Barboza &Zandokan Jr.) defeatAction Andretti&Lio Rush[2:1]CMLL Domingo Familiar- Event @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
2,30.08.2025,,"Best Two Out Of Three Falls:Action Andretti&Lio RushdefeatLa Escuadra(El Hijo del Villano III&Villano III Jr.) [2:1] (16:10)CMLL Sabados De Coliseo- Online Stream @ Arena Coliseo de Mexico City in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
3,29.08.2025,,"Grand Prix Internacional 2025 Torneo Cibernetico:Team Mexico (Angel de Oro,Atlantis Jr.,Difunto,Mascara Dorada,Mistico,Neon,Templario,Titan,Volador Jr.&Zandokan Jr.) defeat Team International (Action Andretti,Donovan Dijak,Lio Rush,Michael Oku,Mike Bailey,Robbie X,Rocky Romero,Taiji Ishimori,The Beast Mortos&TJP) (82:06)CMLL Grand Prix Internacional 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
4,24.08.2025,,"El Desperado,Paragon(Kyle O'Reilly&Roderick Strong) &Yuya UemuradefeatCRU(Action Andretti&Lio Rush) &The Don Callis Family(Hechicero&Josh Alexander) (12:13)AEW/NJPW Forbidden Door 2025 - Zero Hour- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
5,23.08.2025,,"CRU(Action Andretti&Lio Rush) defeatSunshine Machine(Chuck Mambo&TK Cooper) by Count Out (13:19)RevPro 13 Year Anniversary Show - Tag 2- Online Stream @ Crystal Palace National Sports Centre in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
6,17.07.2025,,"200.000 Dollar Four Way:Gates Of Agony(Bishop Kaun&Toa Liona) defeatBig Bill&Bryan KeithandCRU(Action Andretti&Lio Rush) andThe Gunns(Austin Gunn&Colten Gunn) (9:48)AEW Collision #102- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
7,20.06.2025,,"Galeon Fantasma(Difunto&Zandokan Jr.) &Los Depredadores(Magnus&Rugido) defeatCRU(Action Andretti&Lio Rush),Robbie X&Rocky Romero(15:51)CMLL Presenta NJPW Fantastica Mania Mexico 2025- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
8,18.06.2025,,"4 Million Pesos Four Way:HologramdefeatsLio RushandMascara DoradaandRicochet(15:47)AEW Dynamite #298 - Grand Slam Mexico- TV-Show @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
9,17.06.2025,,"CMLL World Tag Team Title:Los Hermanos Chavez(Angel de Oro&Niebla Roja) (c) defeatCRU(Action Andretti&Lio Rush) (14:36)CMLL Martes Populares - CMLL Vs. AEW/ROH- Online Stream @ Arena Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
10,04.06.2025,,"Will OspreaydefeatsLio Rush(9:01)AEW Collision #96 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
11,01.06.2025,,"CRU(Action Andretti&Lio Rush) defeatKAZMA SAKAMOTO&Soma Watanabe(7:58)GLEAT Ver. 17- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
12,25.05.2025,,"AR Fox,Bandido&Los Titanes del Aire(Hologram&Komander) defeatCRU(Action Andretti&Lio Rush) &RPG VICE(Rocky Romero&Trent Beretta) (13:18)AEW Double Or Nothing 2025 - The Buy In- Online Stream @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
13,14.05.2025,,"AEW World Tag Team Title#1 Contendership:The Sons Of Texas(Dustin Rhodes&Sammy Guevara) defeatCRU(Action Andretti&Lio Rush) (11:53)AEW Collision #93 - Beach Break 2025 - Tag 2- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
14,23.04.2025,,"Tornado:CRU(Action Andretti&Lio Rush) defeatTop Flight(Dante Martin&Darius Martin) (11:06)AEW Collision #90 - Playoff Palooza- TV-Show @ UNO Lakefront Arena in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
15,20.04.2025,,"RevPro Undisputed British Cruiserweight Title:Will Kaven(c) defeatsLio Rush(13:47)RevPro High Stakes 2025- Online Stream @ Doncaster Dome in Doncaster, South Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
16,09.04.2025,,"400.000 Dollar:Kevin Knight,Mark Briscoe,Mike Bailey&Will OspreaydefeatCRU(Action Andretti&Lio Rush),Ricochet&The Beast Mortos(11:59)AEW Dynamite #288- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/1/11/Lio_Rush%2C_April_2018_%28cropped%29.jpg
