date,event,result,location,image_url
1,16.06.2025,,"Kairi SanedefeatsLiv Morganby referee's decision (2:45)WWE Monday Night RAW #1673- Online Stream @ Resch Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
2,09.06.2025,,"Queen Of The Ring 2025 First Round Fatal Four Way:Roxanne PerezdefeatsKairi SaneandLiv MorganandRhea Ripley(12:50)WWE Monday Night RAW #1672- Online Stream @ PHX Arena in Phoenix, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
3,02.06.2025,,"Money In The Bank Qualifying Triple Threat:Stephanie VaquerdefeatsIvy NileandLiv Morgan(10:18)WWE Monday Night RAW #1671- Online Stream @ BOK Center in Tulsa, Oklahoma, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
4,26.05.2025,,"Kairi SanedefeatsLiv Morgan(10:52)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
5,22.04.2025,,"WWE Women's Tag Team Title:The Judgment Day(Liv Morgan&Raquel Rodriguez) (c) defeatGigi Dolin&Tatum Paxley(11:29)WWE NXT #782- TV-Show @ BleauLive Theater in Las Vegas, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
6,21.04.2025,,"WWE Women's Tag Team Title:The Judgment Day(Liv Morgan&Raquel Rodriguez) defeatBecky Lynch&Lyra Valkyria(c) (11:56) -TITLE CHANGE !!!WWE Monday Night RAW #1665- Online Stream @ T-Mobile Arena in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
7,20.04.2025,,"WWE Women's Tag Team Title:Becky Lynch&Lyra ValkyriadefeatThe Judgment Day(Liv Morgan&Raquel Rodriguez) (c) (8:38) -TITLE CHANGE !!!WWE WrestleMania 41 - Sunday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
8,14.04.2025,,"BayleydefeatsLiv Morgan(12:39)WWE Monday Night RAW #1664- Online Stream @ Golden 1 Center in Sacramento, California, USA",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
9,30.03.2025,,"Street Fight:Rhea RipleydefeatsLiv MorganWWE Road To WrestleMania- House Show @ Ziggo Dome in Amsterdam, Niederlande",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
10,29.03.2025,,"Street Fight:Rhea RipleydefeatsLiv MorganWWE Road To WrestleMania- House Show @ Wiener Stadthalle in Wien, Österreich",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
11,21.03.2025,,"Liv MorgandefeatsJade Cargill(10:10)WWE Friday Night SmackDown #1335- TV-Show @ Unipol Arena in Bologna, Emilia-Romagna, Italien",https://upload.wikimedia.org/wikipedia/commons/a/a3/2019-05-09_21-54-02_SM-G950F_191_DxO.jpg
