date,event,result,location,image_url
1,04.09.2025,,"MoosedefeatsAJ Francis(9:25)TNA iMPACT #1103- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
2,31.08.2025,,"MoosedefeatsJames EllsworthBRCW Summer Smash 3- Event @ The Studio in Boca Raton, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
3,30.08.2025,,"Daniel Stark,NERD 5th&Russ JonesdefeatKevin Storm&The System(JDC&Moose)RCW Swinging For The Fences- Event @ Four Winds Field in South Bend, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
4,23.08.2025,,"Damo McCullough&MoosedefeatJonny Lyons& Queens360 Pro The Big Spring Brawl 2025- Event @ Howard County Fair Barn in Big Spring, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
5,23.08.2025,,"360 Pro Heavyweight Title:Damo McCullough(c) vs.Moose- No Contest360 Pro The Big Spring Brawl 2025- Event @ Howard County Fair Barn in Big Spring, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
6,16.08.2025,,"Order 4(Jason Hotch,John Skyler&Mustafa Ali) defeatMatt Cardona&The System(Brian Myers&Moose) (10:14)TNA iMPACT #1100- TV-Show @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
7,15.08.2025,,"TNA World Title:Trick Williams(c) defeatsMoose(16:45)TNA Emergence 2025- Online Stream @ Chesapeake Employers Insurance Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
8,12.08.2025,,"DarkState(Cutler James,Dion Lennox,Osiris Griffin&Saquon Shugars) defeatJe'Von Evans,Moose,Oba Femi&Trick Williams(13:19)WWE NXT #798- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
9,09.08.2025,,"Steve MaclindefeatsMooseStars Of Wrestling Grapplr's Paradise- Event @ Alameda Point Gym in Alameda, California, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
10,24.07.2025,,"The System(Eddie Edwards&Moose) defeatAJ Francis&Trick Williams(9:28)TNA iMPACT #1097- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
11,20.07.2025,,"TNA X-Division Title:Leon SlaterdefeatsMoose(c) (15:43) -TITLE CHANGE !!!TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
12,10.07.2025,,"MoosedefeatsEdge Stone(8:44)OWA/WildKat Bayou Beatdown- Online Stream @ Alario Center in Westwego, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
13,21.06.2025,,"MoosedefeatsSami Callihan(2:40)TNA iMPACT #1095- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
14,20.06.2025,,"Triple Threat:MoosedefeatsJake PainterandShane Sabre(2:03)TNA iMPACT #1092- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
15,19.06.2025,,"MoosedefeatsKongo Kongby DQ (6:58)JCW Lunacy #45- Online Stream @ Epic Event Center in Green Bay, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
16,17.06.2025,,"MoosedefeatsColby Corino(6:20)JCW Lunacy #44- Online Stream @ Omaha Admiral Theater in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
17,15.06.2025,,"TNA X-Division TitleFour Way:Moose(c) defeatsEl Hijo de Dr. Wagner Jr.andEl MesiasandJoe Hendry(11:41)AAA TripleMania Regia 2025- Online Stream @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
18,07.06.2025,,"Elijah,Joe Hendry,Leon Slater&The Rascalz(Trey Miguel&Zachary Wentz) defeatMoose,Steve Maclin,The Nemeths(Nic Nemeth&Ryan Nemeth) &Trick Williams(20:04)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
19,06.06.2025,,"Leon Slater,The Hardys(Jeff Hardy&Matt Hardy) &The Home Town MandefeatThe System(Brian Myers,Eddie Edwards,JDC&Moose) (12:37)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
20,31.05.2025,,"Illinois State Pro Title:Matty Ice(c) defeatsMooseby DQHealthy Brain Entertainment Live Pro Wrestling- Event @ Eagles Club in Berwyn, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
21,29.05.2025,,"TNA X-Division TitleTwo On One Handicap:Moose(c) defeatsBugs Moranand Monchose Mayhem (3:23)OWA Chi-Town Beat Down- Pay Per View @ Admiral Theatre in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
22,25.05.2025,,"The System(JDC&Moose) [USA] defeatChanning Decker&Jesse Bieber[Canada] (10:38)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
23,25.05.2025,,"Mixed:Cody Deaner,Jody Threat,Matt Hardy,Santino Marella&Tommy DreamerdefeatThe System(Alisha Edwards,Brian Myers,Eddie Edwards,JDC&Moose) (8:44)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/b/b2/A_moose_with_reflection_in_Grand_Teton_NP.jpg
