date,event,result,location,image_url
1,28.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
2,27.08.2025,,"WWE Women's  TitleThree Way:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
3,26.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
4,24.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 2- House Show @ Utilita Arena Newcastle in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
5,23.08.2025,,"WWE Women's  TitleTriple Threat:Tiffany Stratton(c) defeatsJade CargillandNia JaxWWE Road To Clash In Paris - Tag 1- House Show @ M&S Bank Arena in Liverpool, Merseyside, England, UK",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
6,22.08.2025,,"Jade Cargill&Tiffany StrattondefeatBecky Lynch&Nia Jax(6:24)WWE Friday Night SmackDown #1357- TV-Show @ 3Arena in Dublin, Ireland",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
7,12.08.2025,,"Nia JaxdefeatsLash Legend(12:53)WWE NXT #798- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
8,05.08.2025,,"Nia JaxdefeatsThea Hail(9:34)WWE NXT #797- TV-Show @ WWE Performance Center in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
9,27.07.2025,,"WWE Women's  Title:Tiffany Stratton(c) defeatsNia JaxWWE SuperShow Mexico- House Show @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
10,26.07.2025,,"WWE Women's  Title:Tiffany Stratton(c) defeatsNia JaxWWE SuperShow Mexico- House Show @ Arena Ciudad de Mexico in Mexico City, Distrito Federal, Mexiko",https://upload.wikimedia.org/wikipedia/commons/d/da/Nia_Jax_042025_%28cropped%29.jpg
