date,event,result,location,image_url
1,05.09.2025,,"TNA World Tag Team Title:The Hardys(Jeff Hardy&Matt Hardy) (c) defeatThe Nemeths(Nic Nemeth&Ryan Nemeth) (11:56)TNA iMPACT #1104- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
2,04.09.2025,,"The Nemeths(Nic Nemeth&Ryan Nemeth) defeatThe System(Brian Myers&Eddie Edwards) (12:44)TNA iMPACT #1103- TV-Show @ The Armory in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
3,19.08.2025,,"Nic NemethdefeatsBen BishopACW Showing Off On A Tuesday- Event @ Guitars And Cadillacs in Overland Park, Kansas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
4,15.08.2025,,"Atticus CogardefeatsNic Nemeth(9:01)GCW/JCW The 2 Day War - Tag 2- Pay Per View @ Legend Valley in Thornville, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
5,27.07.2025,,"Nic NemethdefeatsMatt Cardona(18:03)ALW Star Spangled Slammer 9- Event @ Ocean Center in Daytona Beach, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
6,26.07.2025,,"Nic NemethdefeatsJoe Alonzo(16:44)GCWA Danger Zone- Event @ Holiday Inn Downtown Marina in Corpus Christi, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
7,24.07.2025,,"The Rascalz(Myron Reed&Zachary Wentz) defeatThe Nemeths(Nic Nemeth&Ryan Nemeth) (6:14)TNA iMPACT #1097- TV-Show @ Thomas M. Ryan Center in Kingston, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
8,20.07.2025,,"TNA World Tag Team TitleFour Way Ladder:The Hardys(Jeff Hardy&Matt Hardy) defeatThe Nemeths(Nic Nemeth&Ryan Nemeth) (c) andFirst Class(AJ Francis&KC Navarro) andThe Rascalz(Myron Reed&Zachary Wentz) (16:45) -TITLE CHANGE !!!TNA Slammiversary 2025- Pay Per View @ UBS Arena in Elmont, New York, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
9,28.06.2025,,"Nic NemethdefeatsAigle Blanc(17:37)APC Final Storm- Online Stream @ Studio Jenny in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
10,21.06.2025,,"First Class(AJ Francis&KC Navarro) &The Nemeths(Nic Nemeth&Ryan Nemeth) defeatThe Hardys(Jeff Hardy&Matt Hardy) &The Rascalz(Myron Reed&Zachary Wentz) (15:08)TNA iMPACT #1094- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
11,20.06.2025,,"Nic NemethdefeatsZachary Wentz(9:06)TNA iMPACT #1093- TV-Show @ UPMC Events Center in Moon Township, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
12,15.06.2025,,"AAA World Tag Team TitleFour Way:Los Garza(Angel&Berto) defeatNueva Generacion Dinamita(Forastero&Sanson) (c) andPagano&Psycho ClownandThe Nemeths(Nic Nemeth&Ryan Nemeth) (16:49) -TITLE CHANGE !!!AAA TripleMania Regia 2025- Online Stream @ Arena Monterrey in Monterrey, Nuevo Leon, Mexiko",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
13,07.06.2025,,"Elijah,Joe Hendry,Leon Slater&The Rascalz(Trey Miguel&Zachary Wentz) defeatMoose,Steve Maclin,The Nemeths(Nic Nemeth&Ryan Nemeth) &Trick Williams(20:04)TNA iMPACT #1091- TV-Show @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
14,06.06.2025,,"TNA World Tag Team Title:The Nemeths(Nic Nemeth&Ryan Nemeth) (c) defeatThe Rascalz(Trey Miguel&Zachary Wentz) (12:45)TNA Against All Odds 2025- Online Stream @ Mullett Arena in Tempe, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
15,25.05.2025,,"Flag:Santino Marella[Canada] defeatsNic Nemeth[USA] (9:45)TNA Border Brawl- Online Stream @ Niagara Falls Convention Centre in Niagara Falls, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
16,24.05.2025,,"Leon Slater,Matt Hardy&Mike SantanadefeatFrankie Kazarian&The Nemeths(Nic Nemeth&Ryan Nemeth) (7:09)TNA iMPACT #1089- TV-Show @ CAA Centre in Brampton, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/4/4e/DZ_WWE_WHC.png
