date,event,result,location,image_url
1,22.05.1999,,"Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF House Show- House Show @ Rosemont Horizon in Rosemont, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
2,16.05.1999,,"The Road DoggdefeatsOwen HartWWF House Show- House Show @ Richmond Coliseum in Richmond, Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
3,15.05.1999,,"The Road DoggdefeatsOwen Hart(7:10)WWF House Show- House Show @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
4,14.05.1999,,"WWF Intercontinental Title:The Godfather(c) defeatsOwen HartWWF House Show- House Show @ First Union Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
5,13.05.1999,,"Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF House Show- House Show @ Hersheypark Arena in Hershey, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
6,12.05.1999,,"Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF House Show- House Show @ Civic Center in Tallahassee, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
7,11.05.1999,,"The Godfather&Val VenisdefeatJeff Jarrett&Owen Hart(3:56)WWF RAW is WAR #312- TV-Show @ National Car Rental Center in Sunrise, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
8,10.05.1999,,"Dark:Owen HartdefeatsKurt AngleWWF Shotgun Saturday Night- Dark Match @ Orlando Arena in Orlando, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
9,08.05.1999,,"Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF House Show- House Show @ USF Sundome in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
10,07.05.1999,,"Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF House Show- House Show @ TECO Arena in Fort Myers, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
11,02.05.1999,,"Dark:Jeff Jarrett&Owen HartdefeatChristian&EdgeWWF Sunday Night Heat #40- Dark Match @ San Diego, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
12,01.05.1999,,"Tag Team Three Way:Jeff Jarrett&Owen HartdefeatThe New Age Outlaws(Billy Gunn&The Road Dogg) andChristian&EdgeWWF House Show- House Show @ Arrowhead Pond in Anaheim, California, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
13,27.04.1999,,"The Blue BlazerdefeatsVal Venis(2:19)WWF SmackDown #1- TV-Show @ New Haven Coliseum in New Haven, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
14,26.04.1999,,"Owen Hartvs.The Road Dogg- Double DQ (3:03)WWF Shotgun Saturday Night- TV-Show @ Civic Center in Hartford, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
15,25.04.1999,,"The New Age Outlaws(Billy Gunn&The Road Dogg) defeatJeff Jarrett&Owen Hart(10:33)WWF Backlash 1999- Pay Per View @ Providence Civic Center in Providence, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
16,24.04.1999,,"Tag Team Three Way:The New Age Outlaws(Billy Gunn&The Road Dogg) defeatJeff Jarrett&Owen HartandThe Brood(Edge&Gangrel)WWF House Show- House Show @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
17,23.04.1999,,"Tag Team Three Way:The New Age Outlaws(Billy Gunn&The Road Dogg) defeatJeff Jarrett&Owen HartandThe Brood(Christian&Edge)WWF House Show- House Show @ SkyDome in Toronto, Ontario, Canada",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
18,22.04.1999,,"Tag Team Three Way:The New Age Outlaws(Billy Gunn&The Road Dogg) defeatChristian&EdgeandJeff Jarrett&Owen HartWWF House Show- House Show @ Joyce Athletic & Convocation Center in South Bend, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
19,18.04.1999,,"Tag Team Three Way Elimination:Jeff Jarrett&Owen HartdefeatThe New Age Outlaws(Billy Gunn&The Road Dogg) andChristian&EdgeWWF House Show- House Show @ Skyreach Centre in Edmonton, Alberta, Canada",https://upload.wikimedia.org/wikipedia/commons/8/82/Blue_Blazer%2C_March_1989_04.jpg
