date,event,result,location,image_url
1,05.09.2025,,"PCO&Shotzi BlackheartdefeatKris Chambers&Taylor Rising(11:01)MLP Sacred Ground- Online Stream @ Six Nations Sports & Cultural Memorial Centre in Ohsweken, Ontario, Canada",
2,16.08.2025,,"Greektown Wrestling TitleThree Way:Joey Janela(c) defeatsChanning DeckerandPCO(17:58)Greektown- Online Stream @ 310 Danforth Ave in Toronto, Ontario, Canada",
3,15.08.2025,,"The Outbreak(Abel Booker &Jacksyn Crowley) defeatNate Webb&PCO(5:48)GCW/JCW The 2 Day War - Tag 2- Pay Per View @ Legend Valley in Thornville, Ohio, USA",
4,23.07.2025,,"No Disqualification:PCOdefeatsMitch ThompsonTUW Wild Ride II- Event @ Festivite Western in Saint-Victor, Quebec, Canada",
5,05.07.2025,,"International Heavyweight TitleHouse Of Pain Match (Special Referee: Billy Gunn):PCO(c) defeatsDan Maff(16:08)MLP Resurrection- Pay Per View @ Colisée de Laval in Laval, Quebec, Canada",
6,14.06.2025,,"No Disqualification:South Shore Wrecking Crew(Giovanni,Jack Saunders&Tom LeBlond) defeat Le Pacte (Alex Silva&Dani Leo) &PCONSPW Golden Opportunity XV- Online Stream @ Pavillon De La Jeunesse  in Quebec City, Quebec, Canada",
7,10.05.2025,,"MLP Canadian Title20 Man Gauntlet Match (vakant):Josh AlexanderdefeatsAlex ZayneandBhupinder GujjarandBilly GunnandBishop DyerandBrent BanksandEl PhantasmoandJohnny ParisiandMatt CardonaandMichael Allen Richard ClarkandMo JabariandPCOandPsycho MikeandQT MarshallandRaj DhesiandRhinoandRich SwannandSantino MarellaandSheldon JeanandSlex(42:40) -TITLE CHANGE !!!MLP Northern Rising- Pay Per View @ Mattamy Athletic Centre in Toronto, Ontario, Canada",
8,03.05.2025,,"IWR World Tag Team TitleNo Disqualification Three Way:The Eh Team Special Forces(AD Norman&N8 Mattson) (c) defeatAlienated Youth(Martian Webb&Riley Reinhart) andPCO&The SoultakerIWR 36: Insane WrestleFest - Tag 2- Online Stream @ Frenchtown Municipal Complex in Monroe, Michigan, USA",
9,15.03.2025,,"Street Fight:PCOdefeatsMichael Allen Richard Clark(17:45)MLP Mayhem - Tag 2- Pay Per View @ St. Clair College SportsPlex in Windsor, Ontario, Canada",
10,28.02.2025,,"International Heavyweight TitleNo Holds Barred:PCO(c) defeatsKrackerJakBCW 62- Event @ Whitehorse Club in Burwood East, Victoria, Australia",
11,02.02.2025,,"PCO,Scotty 2 Hotty& The Sem defeatBDE(Big Bad Dirty Nicky,Bittersweet Josh&JB) (7:23)OTT Aftermath 3- Event @ Europa Hotel in Belfast, Northern Ireland, UK",
12,01.02.2025,,"Loco Rumble:B. CooldefeatsAdam MaxtedandAigle BlancandAxel TischerandBig Bad Dirty NickyandBittersweet JoshandBonesawandCalum BlackandCara NoirandCBLandCian NoonanandCory ZeroandDamien Corvinand Darragh Lynch and Dennis Murphy andDonovan DijakandDunkan DisorderlyandEdward Stewart TateandGin El LibertarioandGoldenboy SantosandGradoandIker NavarroandIlija ZarkovandJayandJBandKuroand Liamo andLJ ClearyandMan Like DeReissandMatthew SmythandMeccaandMooseandPCOandSammy DandScotty 2 HottyandSean GuinnessandTerry Thatcherand The Sem andTJ CharlesandTrent Sevenand Tye Clodd (73:53)OTT Loco Rumble- Event @ National Stadium  in Dublin, Ireland",
