date,event,result,location,image_url
1,26.04.2008,,"Grudge:Paul TravelldefeatsIan LoganIPW:UK Buckland Encounter- Event @ Buckland Community Centre in Portsmouth, Hampshire, England, UK",
2,08.03.2008,,"James Tighe&Paul TravelldefeatLT Summers&Mark HaskinsIPW:UK Buckland Identity- Event @ Buckland Community Centre in Portsmouth, Hampshire, England, UK",
3,08.03.2008,,"IPW:UK Title#1 Contendership Battle Royal:Mark HaskinsdefeatsDan HeadandEamon O'NeilandIan LoganandJames TigheandJules Lambriniand Kid Candy andLT SummersandMax VoltageandPaul TravellIPW:UK Buckland Identity- Event @ Buckland Community Centre in Portsmouth, Hampshire, England, UK",
4,03.06.2007,,"Paul Travelldefeats Dave CousioisSAS Fiction- Event @ Pinner Green Social Club in Pinner, Middlesex, England, UK",
5,15.04.2007,,"Two On One Handicap:Saul AdamsdefeatsPaul Travell&The Red Haired LoonSAS Wars - Ep. XII - Team Charming Strike Back- Event @ Pinner Green Social Club in Pinner, Middlesex, England, UK",
6,25.03.2007,,"Team FWA (Paul Travell,Ross Jordan&Zebra Kid) defeat Team IPW:UK (Dragon Phoenix,Max Voltage&Paul Robinson)IPW:UK Vs. FWA Final Frontiers- Event @ Orpington Halls in Orpington, Kent, England, UK",
7,03.12.2006,,"Falls Count Anywhere Ultraviolent:Paul TravelldefeatsIcemanX-S:W Cursed!- Event @ Liquid Nightclub in Gloucester, Gloucestershire, England, UK",
8,27.08.2006,,"Jack StormdefeatsPaul TravellSAS Park- Event @ Pinner Green Social Club in Pinner, Middlesex, England, UK",
9,29.07.2006,,"Falls Count Anywhere:Paul Travell&Paul TyrelldefeatThe UK Pitbulls(Big Dave&The Bulk)Playhouse Wrestlefest IV- Event @ The Playhouse Theatre in Harlow, Essex, England, UK",
10,23.07.2006,,"Paul TravelldefeatsCharlie Rageby DQFWA Live- Event @ Ken Marriott Leisure Centre in Rugby, Warwickshire, England, UK",
11,02.07.2006,,"Paul TravelldefeatsSir Thomas ChamberlainSAS Episode V - The New Hope!- Event @ Pinner Green Social Club in Pinner, Middlesex, England, UK",
12,07.05.2006,,"Paul Travellvs.Sir Thomas Chamberlain- No ContestSAS It's Still Real To Us Dammit- Event @ Pinner Green Social Club in Pinner, Middlesex, England, UK",
13,30.04.2006,,"Ghetto Brawl Triple Threat:Paul TravelldefeatsBattalionandFlaming Red(15:54)IPW:UK The April Show- Event @ Orpington Halls in Orpington, Kent, England, UK",
14,02.04.2006,,"Hardcore:Icemanvs.Paul Travell- No Contest (21:51)FWA Crunch 2006- Event @ Broxbourne Civic Hall in Hoddesdon, Hertfordshire, England, UK",
15,01.04.2006,,"IcemandefeatsPaul TravellFWA Who's Fooling Who?- Event @ Sudbury Sports Centre in Sudbury, England, UK",
16,18.03.2006,,"BashdefeatsPaul TravellHEW Living On A Prayer II- Event @ Silver Jubilee Hall in Takeley, Essex, England, UK",
17,12.11.2005,,"Hardcore Elimination:Mick Foley,Paul Travell,Steve Corino&The SandmandefeatAlex Shane,Iceman,Martin Stone&Stixx(22:39)Universal Uproar- Event @ Coventry Skydome in Coventry, West Midlands, England, UK",
