date,event,result,location,image_url
1,17.03.2012,,"Brian Christopher&Ron SimmonsdefeatPG-13(Jamie Dundee&Wolfie D)Crossfire- Event @ Tennessee State Fairgrounds in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
2,06.02.2010,,"Alexander The Great,Bobby Hayes&Terry LawlerdefeatAir Paris,David Young&Ron Simmons(19:07)PICW Ron Simmons Retirement Show- Event @ The Purks Building in Cedartown, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
3,07.08.2009,,"MCW Heavyweight Title/MCW Tag Team Title:Ron Simmons&Ruckus(c) [Heavyweight] defeatPrivileged(Tyler Hilton&Zachary Shane) (c) [Tag Team] by DQMCW Summer Heat 2009- Event @ The New Green Room in Dundalk, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
4,02.05.2009,,"Bull Dredd&Ron SimmonsdefeatMike Bennett&Tommaso CiampaNEW Rage In The Cage 2009- Event @ Waterbury, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
5,25.04.2009,,"Helter SkelterdefeatsRon Simmonsby Count OutNWS- Event @ Assumption School Gym in Atco, New Jersey, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
6,24.04.2009,,"Ron SimmonsdefeatsJaleel SalaamNEW Spring Slam 2009- Event @ Newburgh Free Academy High School in Newburgh, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
7,18.04.2009,,"Ron SimmonsdefeatsJaleel SalaamNEW Honesdale Havoc 2009- Event @ Honesdale, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
8,09.11.2008,,"AJ Steele, Dr. Johnny Gayton &Ron Simmonsdefeat Hot Like Lava (Cru Jones,Micah Taylor&Shaun Banks) (18:05)RPW TV Taping- Event @ Johnny G's Fun Center in Warner Robins, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
9,07.12.2007,,"Dark:Ron SimmonsdefeatsHardcore HollyWWE Monday Night RAW #761 - Tribute To The Troops 2007- Dark Match @ Camp Victory in Bagdad, Irak",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
10,05.11.2007,,"Ron SimmonsdefeatsAaron Aguilera(1:23)WWE Heat #491- Online Stream @ Staples Center in Los Angeles, California, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
11,29.10.2007,,"Ron SimmonsdefeatsJason Static(0:44)WWE Heat #490- Online Stream @ Wachovia Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
12,22.10.2007,,"Ron SimmonsdefeatsSantino Marellaby DQ (1:49)WWE Monday Night RAW #752- TV-Show @ Qwest Center in Omaha, Nebraska, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
13,01.10.2007,,"Ron SimmonsdefeatsDaivari(0:30)WWE Heat #486- Online Stream @ Quicken Loans Arena in Cleveland, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
14,24.09.2007,,"Ron SimmonsdefeatsSantino Marellaby Count Out (3:16)WWE Monday Night RAW #748- TV-Show @ Bradley Center in Milwaukee, Wisconsin, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
15,17.09.2007,,"Ron SimmonsdefeatsJohnny Parisi(0:54)WWE Heat #484- Online Stream @ Sommet Center in Nashville, Tennessee, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
16,18.12.2006,,"WWE Heavyweight Title#1 Contendership 30 Man Battle Royal:EdgedefeatsCarlitoandCharlie HaasandChris MastersandEugeneandJeff HardyandJerry LawlerandJim DugganandJohnnyandJohnny NitroandJTGandKennyandLance CadeandRandy OrtonandRic FlairandRobbie McAllisterandRob ConwayandRon SimmonsandRory McAllisterandSgt. SlaughterandShadandShawn MichaelsandShelton BenjaminandSnitskyandSuper CrazyandThe Brooklyn BrawlerandTrevor MurdochandTriple HandVal VenisandViscera(25:18)WWE Monday Night RAW #708- TV-Show @ Verizon Center in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
17,26.11.2006,,"Survivor Series Elimination:Team Flair (Dusty Rhodes,Ric Flair,Ron Simmons&Sgt. Slaughter) defeatThe Spirit Squad(Johnny,Kenny,Mikey&Nicky) (10:34)WWE Survivor Series 2006- Pay Per View @ Wachovia Center in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
18,16.03.2004,,"WWE Tag Team Title:Rikishi&Scotty 2 Hotty(c) defeatThe APA(Bradshaw&Faarooq) (6:23)WWE SmackDown #240- TV-Show @ FleetCenter in Boston, Massachusetts, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
19,15.03.2004,,"The APA(Bradshaw&Faarooq) defeatAkio&SakodaWWE SmackDown House Show- House Show @ Verizon Wireless Arena in Manchester, New Hampshire, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
20,14.03.2004,,"WWE Tag Team TitleFour Way:Rikishi&Scotty 2 Hotty(c) defeatThe APA(Bradshaw&Faarooq) andThe Basham Brothers(Danny Basham&Doug Basham) andThe World's Greatest Tag Team(Charlie Haas&Shelton Benjamin) (6:05)WWE WrestleMania XX - ""Where it all Begins... Again""- Pay Per View @ Madison Square Garden in New York City, New York, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
21,29.02.2004,,"WWE Tag Team TitleFatal Four Way:Rikishi&Scotty 2 Hotty(c) defeatThe APA(Bradshaw&Faarooq) andThe Basham Brothers(Danny Basham&Doug Basham) andThe World's Greatest Tag Team(Charlie Haas&Shelton Benjamin)WWE SmackDown House Show- House Show @ Carnival City in East Rand, Gauteng, South Africa",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
22,28.02.2004,,"WWE Tag Team TitleFatal Four Way:Rikishi&Scotty 2 Hotty(c) defeatThe APA(Bradshaw&FaarooqandThe Basham Brothers(Danny Basham&Doug Basham) andThe World's Greatest Tag Team(Charlie Haas&Shelton Benjamin)WWE SmackDown House Show- House Show @ The Dome in Johannesburg, Gauteng, South Africa",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
23,27.02.2004,,"WWE Tag Team TitleFatal Four Way:Rikishi&Scotty 2 Hotty(c) defeatThe APA(Bradshaw&Faarooq) andThe Basham Brothers(Danny Basham&Doug Basham) andThe World's Greatest Tag Team(Charlie Haas&Shelton Benjamin)WWE SmackDown House Show- House Show @ Westridge Stadium in Durban, KwaZulu-Natal, South Africa",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
24,26.02.2004,,"The APA(Bradshaw&Faarooq) defeatThe World's Greatest Tag Team(Charlie Haas&Shelton Benjamin)WWE SmackDown House Show- House Show @ Good Hope Centre in Cape Town, Western Cape, South Africa",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
25,24.02.2004,,"The APA(Bradshaw&Faarooq) defeatRikishi&Scotty 2 Hotty(4:48)WWE SmackDown #237- TV-Show @ Kemper Arena in Kansas City, Missouri, USA",https://upload.wikimedia.org/wikipedia/commons/9/91/Ron_Simmons.jpg
