date,event,result,location,image_url
1,13.09.2025,,"NEVER Openweight Six Man Tag Team Title:Master Wato,Toru Yano&YOH(c) defeatEl Desperado,Hiroshi Tanahashi&Ryusuke Taguchi(21:31)NJPW Road To Destruction 2025 - Tag 3- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
2,12.09.2025,,"Dangerous Tekkers(Taichi&Zack Sabre Jr.),Ryusuke Taguchi&Tomohiro IshiidefeatTMDK(Kosei Fujita&Ryohei Oiwa),Shota Umino&Yuya Uemura(25:25)NJPW Shinnichi-Champion presents Pyon!- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
3,10.09.2025,,"El Desperado,Hiroshi Tanahashi,Ryusuke Taguchi&Yuya UemuradefeatMaster Wato,Togi Makabe,Toru Yano&YOH(11:12)NJPW Road To Destruction 2025 - Tag 2- Event @ Kuki City Gymnasium in Kuki, Saitama, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
4,09.09.2025,,"El Desperado,Hiroshi Tanahashi,Ryusuke Taguchi&Shota UminodefeatMaster Wato,Togi Makabe,Toru Yano&YOH(10:30)NJPW Road To Destruction 2025 - Tag 1- Event @ Fujisan Messe in Fuji, Shizuoka, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
5,07.09.2025,,"Master Wato,Togi Makabe,Toru Yano&YOHdefeatEl Desperado,Ryusuke Taguchi,Shota Umino&Yuya Uemura(8:16)NJPW Yuji Nagata Produce Blue Justice XVI- Online Stream @ Togane Arena in Togane, Chiba, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
6,17.08.2025,,"Master Wato,Toru Yano&YOHdefeatEl Desperado,Ryusuke Taguchi&YOSHI-HASHI(6:40)NJPW G1 Climax 35 - Tag 19- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
7,16.08.2025,,"El Desperado,Ryusuke Taguchi,Shota Umino,YOSHI-HASHI&Yuya UemuradefeatMaster Wato,Satoshi Kojima,Taichi,Toru Yano&YOH(8:54)NJPW G1 Climax 35 - Tag 18- TV-Show @ Ariake Arena in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
8,06.07.2025,,"House Of Torture(EVIL,Ren Narita,SANADA,Yoshinobu Kanemaru&Yujiro Takahashi) defeatOleg Boltin,Ryusuke Taguchi,Shota Umino,Tomoaki Honma&Yuya Uemura(8:38)NJPW New Japan Soul 2025 - Tag 9- Online Stream @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
9,29.06.2025,,"Hiroshi Tanahashi,Ryusuke Taguchi&Shota UminodefeatHiromu Takahashi,LEONA&Tatsumi Fujinami(9:17)NJPW Tanahashi Jam- TV-Show @ Aichi Prefectural Gymnasium in Nagoya, Aichi, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
10,27.06.2025,,"Ryusuke Taguchi,Taichi&Tomohiro IshiidefeatUnited Empire(Callum Newman,Great-O-Khan&Jakob Austin Young) (10:10)NJPW New Japan Soul 2025 - Tag 7- Event @ Shiga Theatre for Cultural and Industrial Development Event Hall in Maibara, Shiga, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
11,26.06.2025,,"Hiroshi Tanahashi,Jado&Ryusuke TaguchidefeatBULLET CLUB War Dogs(Drilla Moloney,Gabe Kidd&Gedo) (10:11)NJPW New Japan Soul 2025 - Tag 6- Event @ Chino Cultural Complex in Chino, Nagano, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
12,24.06.2025,,"Six Or Nine(Master Wato&Ryusuke Taguchi),Daiki Nagai&Katsuya MurashimadefeatDragon Libre,GENTARO,Kengo&Tatsuhito Takaiwa(10:38)NJPW Death Pain Invitational- Pay Per View @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
13,23.06.2025,,"Ryusuke Taguchi&Yuya UemuradefeatUnited Empire(Great-O-Khan&Jakob Austin Young) (7:37)NJPW New Japan Soul 2025 - Tag 5- TV-Show @ Korakuen Hall in Tokyo, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
14,22.06.2025,,"Hiroshi Tanahashi,Ryusuke Taguchi&Tomohiro IshiidefeatBULLET CLUB War Dogs(Drilla Moloney,Gabe Kidd&Gedo) (10:51)NJPW New Japan Soul 2025 - Tag 4- Event @ Toyota Crown Arena in Fukushima, Japan",https://upload.wikimedia.org/wikipedia/commons/3/31/Ryusuke_Taguchi.jpg
