date,event,result,location,image_url
1,19.04.2025,,"Clusterfuck Battle Royal:Brodie Lee Jr.defeats1 Called Mandersand2 Tuff TonyandAerial Van GoandAlec PriceandAshley VoxandB3CCAandBam SullivanandBig F'n Joeand Blanket Jackson andBobby FlacoandBodhi Young ProdigyandBrad BaylorandBrayden ToonandBrittnie BrooksandChanning DeckerandCheeseburgerandCPAandDan BarryandDani MoandDan The DadandDavey BangandDr. RedactedandDustin ThomasandEffyandFrankie BandFrank The ClownandHarlon AbbottandHuman TornadoandJack CartwheelandJackson DrakeandJai VidalandJay LucasandJeffrey JohnandJGeorgeandJoey JanelaandJohn Wayne MurdochandJP GraysonandJuventud GuerreraandKerry MortonandKidd Banditand Lady KillJoy andLena KrossandLou NixonandMan Like DeReissandManny LemonsandMasha SlamovichandMatt TremontandMBMand MBM's Friend (Ultima Sombra) andMegan BayneandMickie KnucklesandMicromanandMike JacksonandMiu WatanabeandNate Webband New Roy (Nasty Leroy) andParrowandPaul LondonandRakuandRandy MyersandRhys MaddoxandRicky SmokesandRuffo The ClownandSam HollowayandSantana JacksonandShino SuzukiandShreddyand Sleepy Ed andSnitskyandSonicoandSonny KissandStarboy CharlieandSteven CroweandSuper CrazyandTara ZepandTerry Yakiand The Invisible Man andThe WarlordandThomas Shireand Tombstone Jesus andTommy GraysonandTommy InvincibleandUnagi SayakaandVipressandViva VanandYabo The ClownandYoshihikoandZayda Steel(139:45)GCW Joey Janela's Spring Break: Clusterfuck Forever 2025- Pay Per View @ Pearl Theater At Palms Casino Resort in Las Vegas, Nevada, USA",
2,02.03.2025,,"SnitskydefeatsVargas(2:21)Maccabiah Mania III: The Last Hora- Online Stream @ Livingston High School in Livingston, New Jersey, USA",
3,14.07.2024,,"SnitskydefeatsCristiano Argentoby Count OutPWE ReLoaded 2024- Event @ Dauphin County Technical School in Harrisburg, Pennsylvania, USA",
4,22.06.2024,,"SnitskydefeatsJD InkBPW Seek And Destroy- Event @ C3 Sports & Event Center in State College, Pennsylvania, USA",
5,25.05.2024,,"Gene Snitskydefeats Khan O'KellyFWE Relentless- Event @ Sports HQ in Cary, North Carolina, USA",
6,03.09.2023,,"Alex KanedefeatsSnisky(4:32)MLW Fusion #185- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
7,27.08.2023,,"Gene SnitskydefeatsOxx Adamsby Count Out (1:23)BPW Out Of Time- Pay Per View @ Signature Event Center in Brodheadsville, Pennsylvania, USA",
8,19.08.2023,,"Red Rose Rumble:JS HawthornedefeatsBig Daddy CruzandBill BainandBonezand Clayton Adams andGene SnitskyandHarleen LopezandJason RadatzandJust Jayand Kris Blade andMajestic Noahand Marvelous and Ritchie Nightmare3LW Red Rose Rumble- Event @ Clipper Magazine Stadium in Lancaster, Pennsylvania, USA",
9,08.07.2023,,"SniskydefeatsYoscifer El(0:42)MLW Fusion #181- Online Stream @ 2300 Arena in Philadelphia, Pennsylvania, USA",
10,01.07.2023,,"Three Way:Lance ArcherdefeatsAfa Jr.andGene Snitsky(6:07)BCW Legends Never Die- Pay Per View @ 2300 Arena in Philadelphia, Pennsylvania, USA",
