date,event,result,location,image_url
1,06.08.2021,,"31 Man Rumblejack:Austin TowersdefeatsAshton StarrandBill BehrensandCarlie BravoandChip DayandDany OnlyandDavid AliandDillon McQueenandDuncan MitchellandEddie HonchoandGeterandGunner MillerandHold My Beer HansonandJazzy YangandJimmy Wang YangandJoe BlackandJordan KingsleyandLogan CreedandLuka DanielsandMikael Judasand Nasty Leroy andNathan MoweryandOwen KnightandSal RinauroandSkrilla The GreatandStevie RichardsandSunny DazeandTankandTyson MadduxandWilliam HuckabyandWill KautionandZicky Dice(60:40)SHW Rumblejack 2021- Event @ Action Building in Canton, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
2,31.07.2021,,"Stevie RichardsdefeatsChuck DevineWildKat The Return Of WildKat Wrestling- Event @ Grace King Auditorium in Metairie, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
3,03.11.2019,,"Hardcore:PJ HawxdefeatsStevie RichardsWildKat Revolution Rumble 2019- Event @ Pontchatrain Center in Kenner, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
4,05.10.2019,,"Matt Griffin,O'Shay Edwards&Stevie RichardsdefeatTeam TAG(Billy Buck,Chris Spectra&Kevin Blue) by DQACTION Wrestling Founders Day Festival- Event @ Shamrock Park in Tyrone, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
5,21.09.2019,,"Shane DouglasdefeatsStevie Richards(7:56)MORE Wrestling Masters Of Ring 1- Event @ Duplin County Events Center in Kenansville, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
6,03.08.2019,,"Stevie RichardsdefeatsPJ HawxWildKat Round 2 Of The WildKat Tag Team Tournament- Event @ Butch Duhe Gym in Kenner, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
7,06.07.2019,,"Ben Buchanan,Bull Buchanan&Steven RichardsdefeatBobby Hayes,Pretty Boy Floyd&Rob AdonisWU- Event @ Roanoke Rec Center in Roanoke, Alabama, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
8,22.06.2019,,"Hawx Aerie(Luke Hawx&PJ Hawx) &Shane DouglasdefeatCW Anderson,Ryan Davidson&Steven RichardsWildKat XXX-Rated- Event @ Shamrock Bar & Grill in New Orleans, Louisiana, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
9,18.05.2019,,"Stevie RichardsdefeatsPJ HawxWildKat- Pay Per View @ Landmark Arena in Cornelia, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
10,05.05.2019,,"Stevie RichardsdefeatsAnthony GreeneBeyond/FCW/WWR Lethal Lottery- Online Stream @ Wide World Of Indoor Sports in North Kingstown, Rhode Island, USA",https://upload.wikimedia.org/wikipedia/commons/5/53/Richards_and_Rhino_%28cropped%29.jpg
