date,event,result,location,image_url
1,06.03.2012,,"Teddy LongdefeatsJohn Laurinaitis(2:36)WWE Friday Night SmackDown #655- TV-Show @ Mohegan Sun Complex in Uncasville, Connecticut, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
2,15.06.2010,,"Drew McIntyredefeatsTeddy Long(0:10)WWE Friday Night SmackDown #565- TV-Show @ RBC Center in Raleigh, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
3,27.11.2005,,"Teddy LongdefeatsEric Bischoff(5:18)WWE Survivor Series 2005- Pay Per View @ Joe Louis Arena in Detroit, Michigan, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
4,07.06.2003,,"The Dudley Boyz(Bubba Ray Dudley,D-Von Dudley&Spike Dudley) defeatChristopher Nowinski,Rodney Mack&Theodore Long(9:15)WWE Insurrextion 2003- Pay Per View @ Telewest Arena in Newcastle Upon Tyne, Tyne And Wear, England, UK",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
5,08.01.2001,,"Three On Two Handicap:Jack Doan,Teddy Long&The RockdefeatKane&Rikishiby DQ (5:27)WWF RAW is WAR #398- TV-Show @ San Jose Arena in San Jose, California, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
6,25.12.1991,,"Johnny B. Badd&PN NewsdefeatDiamond Dallas Page&Teddy Long(6:00)WCW House Show- House Show @ Omni Coliseum in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
7,11.11.1991,,"Three On Two Handicap:Flyin' Brian&Mike GrahamdefeatJohnny B. Badd,Teddy Long&The Diamond StuddWCW World Championship Wrestling- TV-Show @ Center Stage Theater in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
8,19.05.1990,,"Hair Vs. Hair:Paul ElleringdefeatsTheodore R. Long(1:57)NWA Capital Combat '90 - Return Of RoboCop- Pay Per View @ DC Armory in Washington, District Of Columbia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
9,29.04.1990,,"No Disqualification:Paul ElleringdefeatsTheodore R. Longby Count OutNWA House Show- House Show @ Greensboro Coliseum in Greensboro, North Carolina, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
10,28.04.1990,,"Paul ElleringdefeatsTheodore R. Longby Count OutNWA House Show- House Show @ Baltimore Arena in Baltimore, Maryland, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
11,22.04.1990,,"Paul ElleringdefeatsTheodore R. Longby Count OutNWA House Show- House Show @ Veterans Memorial Coliseum in Cedar Rapids, Iowa, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
12,21.04.1990,,"Lights Out:Paul ElleringdefeatsTheodore R. Longby DQNWA House Show- House Show @ Civic Center in Hammond, Indiana, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
13,20.04.1990,,"Paul Elleringvs.Theodore R. Long- No ContestNWA House Show- House Show @ Cincinnati Gardens in Cincinnati, Ohio, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
14,19.04.1990,,"Paul Ellering&The Road Warriors(Animal&Hawk) defeatDoom(Butch Reed&Ron Simmons) &Theodore R. LongNWA House Show- House Show @ Mississippi Coast Coliseum in Biloxi, Mississippi, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
15,19.04.1990,,"Lights Out:Paul ElleringdefeatsTheodore R. LongNWA House Show- House Show @ Civic Center in Charleston, West Virginia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
16,16.04.1990,,"Paul Ellering&The Road Warriors(Animal&Hawk) defeatDoom(Butch Reed&Ron Simmons) &Theodore R. LongNWA House Show- House Show @ Civic Center in Beaumont, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
17,15.04.1990,,"Paul Ellering&The Road Warriors(Animal&Hawk) defeatDoom(Butch Reed&Ron Simmons) &Theodore R. LongNWA House Show- House Show @ Hemisfair Arena in San Antonio, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
18,08.04.1990,,"Boxing:Paul ElleringdefeatsTheodore R. Longby DQ (4:00)NWA House Show- House Show @ Omni Coliseum in Atlanta, Georgia, USA",https://upload.wikimedia.org/wikipedia/commons/f/f3/Theodore_Long_Louisville_Supercon_2018.jpg
