date,event,result,location,image_url
1,10.09.2025,,"Philly Street Fight:Toni StormdefeatsSkye Blue(11:43)AEW Dynamite #310- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
2,06.09.2025,,"Harley Cameron,Kris Statlander,Mina Shirakawa&Toni StormdefeatMegan Bayne&Triangle Of Madness(Julia Hart,Skye Blue&Thekla) (12:14)AEW Collision #109- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
3,30.08.2025,,"Mina Shirakawa,Queen Aminata&Toni StormdefeatBillie Starkz&Triangle Of Madness(Julia Hart&Skye Blue) (12:01)AEW Collision #108- TV-Show @ 2300 Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
4,24.08.2025,,"AEW Women's World Title:Toni Storm(c) defeatsAthena(15:16)AEW/NJPW Forbidden Door 2025- Pay Per View @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
5,20.08.2025,,"Athena&Mercedes MonedefeatAlex Windsor&Toni Storm(16:02)AEW Dynamite #307- TV-Show @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
6,30.07.2025,,"Athena&Billie StarkzdefeatAlex Windsor&Toni Storm(11:23)AEW Dynamite #304- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
7,23.07.2025,,"AEW Women's World TitleEliminator:Toni Storm(c) defeatsBillie Starkz(9:25)AEW Dynamite #303- TV-Show @ Byline Bank Aragon Ballroom in Chicago, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
8,12.07.2025,,"AEW Women's World Title:Toni Storm(c) defeatsMercedes Mone(25:11)AEW All In Texas- Pay Per View @ Globe Life Field in Arlington, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
9,11.06.2025,,"Toni StormdefeatsJulia Hart(7:55)AEW Collision #97 - Summer Blockbuster- TV-Show @ Theater Of The Clouds At Moda Center in Portland, Oregon, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
10,04.06.2025,,"Mina Shirakawa&Toni StormdefeatJulia Hart&Skye Blue(9:49)AEW Dynamite #296 - Fyter Fest 2025- TV-Show @ Mission Ballroom in Denver, Colorado, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
11,25.05.2025,,"AEW Women's World Title:Toni Storm(c) defeatsMina Shirakawa(15:52)AEW Double Or Nothing 2025- Pay Per View @ Desert Diamond Arena in Glendale, Arizona, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
12,14.05.2025,,"AEW Women's World TitleEliminator Four Way:Mina ShirakawadefeatsToni Storm[c] andAZMandSkye Blue(12:11)AEW Dynamite #293 - Beach Break 2025 - Tag 1- TV-Show @ NOW Arena in Hoffman Estates, Illinois, USA",https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
