date,event,result,location,image_url
1,01.09.2025,,"Penta&The War Raiders(Erik&Ivar) defeatGrayson Waller&The New Day(Kofi Kingston&Xavier Woods) (8:24)WWE Monday Night RAW #1684- Online Stream @ Paris La Défense Arena in Nanterre, Frankreich",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
2,29.08.2025,,"Dark Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Friday Night SmackDown #1358- Dark Match @ LDLC Arena in Décines-Charpieu, Frankreich",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
3,28.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
4,28.08.2025,,"Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 5- House Show @ Utilita Arena Cardiff in Cardiff, Wales, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
5,27.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
6,27.08.2025,,"Street Fight:The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 4- House Show @ First Direct Arena in Leeds, West Yorkshire, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
7,26.08.2025,,"The War Raiders(Erik&Ivar) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
8,26.08.2025,,"No Disqualification:Manchester Maniacs (??? & Michael McIntyre) defeatThe New Day(Kofi Kingston&Xavier Woods)WWE Road To Clash In Paris - Tag 3- House Show @ AO Arena in Manchester, Greater Manchester, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
9,18.08.2025,,"PentadefeatsXavier Woods(9:47)WWE Monday Night RAW #1682- Online Stream @ Xfinity Mobile Arena in Philadelphia, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
10,21.07.2025,,"WWE World Tag Team  Title#1 Contendership Triple Threat:LWO(Cruz Del Toro&Joaquin Wilde) defeatThe New Day(Kofi Kingston&Xavier Woods) andAmerican Made(Brutus Creed&Julius Creed) (9:10)WWE Monday Night RAW #1678- Online Stream @ Toyota Center in Houston, Texas, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
11,30.06.2025,,"WWE World Tag Team  Title:The Judgment Day(Finn Balor&JD McDonagh) defeatThe New Day(Kofi Kingston&Xavier Woods) (c) (12:23) -TITLE CHANGE !!!WWE Monday Night RAW #1675- Online Stream @ PPG Paints Arena in Pittsburgh, Pennsylvania, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
12,26.05.2025,,"WWE World Tag Team  TitleTriple Threat:The New Day(Kofi Kingston&Xavier Woods) (c) defeatThe War Raiders(Erik&Ivar) andAmerican Made(Brutus Creed&Julius Creed) (9:14)WWE Monday Night RAW #1670- Online Stream @ Yuengling Center in Tampa, Florida, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
13,19.04.2025,,"WWE World Tag Team  Title:The New Day(Kofi Kingston&Xavier Woods) defeatThe War Raiders(Erik&Ivar) (c) (9:12) -TITLE CHANGE !!!WWE WrestleMania 41 - Saturday- Premium Live Event @ Allegiant Stadium in Paradise, Nevada, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
14,07.04.2025,,"WWE World Tag Team  Title:The New Day(Kofi Kingston&Xavier Woods) defeatThe War Raiders(Erik&Ivar) (c) by DQ (7:49)WWE Monday Night RAW #1663- Online Stream @ Target Center in Minneapolis, Minnesota, USA",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
15,31.03.2025,,"The New Day(Kofi Kingston&Xavier Woods) defeatNew Catch Republic(Pete Dunne&Tyler Bate) (8:50)WWE Monday Night RAW #1662- Online Stream @ The O2 in London, England, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
16,24.03.2025,,"Xavier WoodsdefeatsAkira Tozawa(7:12)WWE Main Event #652- Online Stream @ OVO Hydro in Glasgow, Scotland, UK",https://upload.wikimedia.org/wikipedia/commons/c/c9/Austin_Creed.jpg
